Geneid	GSF2268_s_SP01_S288C_WT_50ng	GSF2268_s_SP02_S288C_WT_50ng	GSF2268_s_SP03_S288C_WT_50ng	GSF2268_s_SP04_S288C_WT_100ng	GSF2268_s_SP05_S288C_WT_100ng	GSF2268_s_SP06_S288C_WT_100ng	GSF2268_s_SP07_S288C_WT_250ng	GSF2268_s_SP08_S288C_WT_250ng	GSF2268_s_SP09_S288C_WT_250ng	GSF2268_s_SP28_S288C_Diamide_100ng	GSF2268_s_SP29_S288C_Diamide_100ng	GSF2268_s_SP30_S288C_Diamide_100ng
YDL248W	21	14	22	27	24	25	38	31	23	35	27	20
YDL247W-A	1	0	0	0	0	0	0	0	0	0	0	0
YDL247W	0	0	0	0	0	0	0	0	0	0	0	0
YDL246C	0	0	0	0	0	0	0	0	0	0	0	0
YDL245C	0	0	0	0	0	0	0	1	0	0	0	0
YDL244W	1	0	0	0	0	0	2	0	1	6	8	2
YDL243C	2	1	1	3	4	5	11	9	11	125	97	112
YDL242W	0	0	0	0	1	0	1	2	1	6	7	4
YDL241W	7	7	11	6	13	10	11	14	6	1	2	2
YDL240C-A	0	0	0	0	1	0	0	0	0	0	0	0
YDL240W	23	12	12	34	15	22	41	31	38	30	27	30
YDL239C	4	2	1	3	3	1	11	7	6	3	4	8
YDL238C	16	8	6	16	4	13	24	19	17	24	26	18
YDL237W	47	30	21	43	45	48	59	53	59	64	61	51
YDL236W	23	14	10	31	32	23	61	51	38	27	24	29
YDL235C	55	42	36	53	45	57	82	58	61	71	70	64
YDL234C	42	33	25	36	51	51	116	70	84	203	152	185
YDL233W	7	2	10	9	9	10	26	23	13	48	31	29
YDL232W	43	33	38	56	45	60	84	70	41	89	86	38
YDL231C	52	49	50	50	60	66	95	99	70	68	54	53
YDL230W	33	17	15	18	26	24	41	32	26	79	59	36
YDL229W	118	61	70	209	120	107	292	268	262	29	36	34
YDL228C	0	0	0	0	0	0	0	0	0	0	0	0
YDL227C	9	6	8	13	9	14	13	14	25	8	5	3
YDL226C	37	29	42	42	42	54	94	77	69	67	53	42
YDL225W	25	28	43	40	30	45	67	76	88	56	43	60
YDL224C	20	19	16	16	27	18	36	28	34	42	40	20
YDL223C	31	20	27	32	28	48	89	55	65	781	647	613
YDL222C	60	52	45	42	61	70	99	68	72	512	403	241
YDL221W	4	2	3	4	3	6	11	11	5	1	5	2
YDL220C	20	6	19	22	33	32	46	48	48	71	62	40
YDL219W	45	26	31	51	48	37	75	60	58	38	28	19
YDL218W	2	0	1	1	2	0	0	0	0	118	96	84
YDL217C	6	4	10	5	10	6	20	13	11	18	17	11
YDL216C	5	10	5	9	10	12	16	16	25	24	19	11
YDL215C	79	40	57	64	83	72	177	123	130	567	545	512
YDL214C	9	0	2	2	9	5	4	8	11	132	119	89
YDL213C	135	114	127	141	152	167	203	185	158	148	134	113
YDL212W	71	63	45	62	78	63	97	89	84	83	81	75
YDL211C	10	3	6	13	6	5	16	9	7	18	8	4
tG(GCC)D1	0	0	0	0	0	0	0	0	0	0	0	0
YDL210W	1	0	2	0	0	0	0	2	3	8	4	6
YDL209C	16	15	17	24	22	18	43	41	26	51	52	48
YDL208W	114	77	98	123	146	130	152	131	127	53	68	56
YDL207W	260	206	198	275	238	277	275	233	298	220	237	286
YDL206W	9	2	6	12	8	10	25	14	15	14	22	22
YDL205C	16	26	15	25	37	37	94	79	57	47	59	42
YDL204W	74	54	49	65	77	71	127	112	100	521	487	426
YDL203C	22	8	14	11	13	20	53	28	33	35	30	23
YDL202W	23	14	20	22	29	31	58	43	38	46	42	36
YDL201W	56	37	46	56	59	71	93	94	86	61	54	32
YDL200C	26	21	23	17	34	33	31	42	18	96	83	70
YDL199C	29	12	18	30	29	37	64	50	47	130	90	51
YDL198C	26	27	26	22	38	30	80	87	57	29	18	13
YDL197C	21	21	17	35	22	36	42	33	43	43	46	37
YDL196W	5	4	2	3	7	8	15	16	10	9	6	6
YDL195W	89	57	55	105	113	125	285	210	226	175	155	155
YDL194W	18	8	16	30	24	29	66	45	36	74	73	57
YDL193W	58	43	52	53	46	84	138	111	86	161	146	125
YDL192W	183	126	152	223	246	237	324	301	234	214	214	189
YDL191W	261	217	258	295	308	337	400	393	315	147	153	115
YDL190C	30	21	21	31	34	41	88	68	73	75	69	59
YDL189W	34	25	33	46	45	48	53	55	50	27	39	31
YDL188C	80	52	79	217	81	126	165	177	131	202	194	162
YDL187C	0	0	0	0	0	0	2	1	0	0	0	0
YDL186W	0	0	0	1	0	1	0	1	1	1	4	0
YDL185C-A	0	0	0	0	0	0	0	0	0	0	0	0
YDL185W	97	88	82	122	143	150	384	303	384	168	190	220
YDL184C	149	148	141	157	151	160	383	367	256	200	167	156
YDL183C	20	19	13	25	25	31	50	41	36	72	84	57
YDL182W	104	80	81	117	131	122	189	165	173	114	113	86
YDL181W	45	40	50	77	44	89	138	133	98	465	461	312
YDL180W	10	0	3	13	8	11	22	12	17	14	14	15
YDL179W	16	10	11	26	18	13	32	35	20	25	21	16
YDL178W	37	27	25	55	47	47	131	109	85	83	93	87
YDL177C	22	15	20	24	23	33	55	53	28	39	42	33
YDL176W	168	108	101	122	102	167	220	230	173	199	205	225
YDL175C	28	26	15	30	30	43	70	45	46	46	31	23
YDL174C	90	80	85	117	105	124	254	185	164	571	573	493
YDL173W	28	13	28	46	43	130	74	70	46	168	150	93
YDL172C	0	3	6	1	0	3	2	0	0	2	4	1
YDL171C	36	14	18	42	45	54	166	121	165	36	40	68
YDL170W	8	7	3	12	16	19	27	27	31	12	11	2
YDL169C	25	21	27	32	33	42	61	49	40	345	287	223
YDL168W	15	18	16	17	20	25	33	44	35	77	49	47
YDL167C	48	38	40	74	78	63	135	133	146	48	34	38
YDL166C	20	8	8	12	20	16	28	30	22	21	20	12
YDL165W	54	37	40	69	73	74	96	106	81	108	98	61
YDL164C	8	6	6	7	14	7	20	24	18	18	10	19
YDL163W	0	0	0	0	0	0	0	0	0	0	0	0
YDL162C	0	0	0	0	0	0	2	0	0	1	1	0
YDL161W	172	142	149	201	189	249	220	182	281	217	210	201
YDL160C-A	10	5	12	16	14	10	26	14	12	13	11	12
YDL160C	82	42	55	72	88	98	152	161	137	269	274	217
YDL159W-A	0	0	0	0	0	0	0	0	0	1	0	0
YDL159W	15	8	11	16	15	15	40	22	25	32	35	39
YDL159C-B	0	0	0	0	0	0	0	0	0	0	0	0
YDL158C	9	16	13	16	18	16	18	8	9	10	10	10
YDL157C	11	6	10	10	19	9	31	17	18	25	22	23
YDL156W	6	2	3	5	5	3	15	11	10	10	8	5
YDL155W	44	40	34	48	45	47	62	56	76	50	67	47
YDL154W	8	8	13	12	9	19	22	29	22	24	34	24
YDL153C	447	339	452	449	486	533	535	623	669	299	299	316
YDL152W	0	0	0	0	0	0	1	1	0	0	0	0
YDL151C	0	0	0	0	0	0	0	0	0	0	0	0
YDL150W	51	41	43	69	72	82	112	101	98	46	43	45
YDL149W	34	16	28	34	38	55	81	65	53	195	177	159
YDL148C	164	143	185	188	197	240	308	278	306	80	77	70
YDL147W	187	143	200	205	255	246	286	264	275	554	533	559
YDL146W	6	1	10	7	10	6	15	8	12	4	8	4
YDL145C	121	68	75	128	125	127	289	260	244	144	135	109
YDL144C	47	27	39	27	45	53	74	73	73	137	122	132
YDL143W	32	24	16	33	43	45	75	66	75	67	53	72
YDL142C	29	15	14	21	20	26	20	33	29	44	47	17
YDL141W	24	14	13	30	27	26	60	56	39	27	19	12
YDL140C	76	34	25	115	76	121	541	328	465	397	299	369
YDL139C	24	14	18	28	18	21	46	37	41	40	34	29
YDL138W	30	21	20	45	40	50	84	70	48	85	85	39
YDL137W	92	74	89	101	122	120	207	182	163	469	429	359
YDL136W	125	119	109	107	155	158	202	157	139	42	43	31
YDL135C	62	49	33	55	65	50	72	82	78	86	75	65
YDL134C	29	15	15	36	29	38	40	38	39	51	39	34
YDL133C-A	127	102	121	107	144	148	261	258	180	122	113	114
YDL133W	29	25	27	37	31	51	79	63	49	122	136	93
YDL132W	34	28	27	58	47	67	131	93	82	123	113	137
YDL131W	80	66	57	84	85	98	166	164	152	89	86	73
YDL130W-A	101	78	106	121	131	173	206	146	137	843	692	860
YDL130W	204	159	235	227	307	295	452	401	343	110	129	107
YDL129W	70	47	66	68	62	79	132	125	108	34	26	15
YDL128W	18	15	8	21	12	14	34	28	27	44	30	20
YDL127W	16	11	5	20	13	15	29	14	23	11	13	6
YDL126C	264	184	199	305	314	384	752	634	771	1171	986	1197
YDL125C	56	47	37	54	62	63	118	94	93	167	420	119
YDL124W	234	156	175	224	255	239	416	375	303	1098	1028	825
YDL123W	100	72	54	107	90	110	152	106	124	165	162	93
YDL122W	39	32	25	58	62	79	178	140	208	99	98	129
YDL121C	169	150	174	199	207	245	290	284	310	137	171	171
YDL120W	24	13	19	28	29	28	59	45	30	41	25	16
YDL119C	18	16	10	14	16	18	29	15	12	24	25	13
YDL118W	1	1	0	0	0	1	2	2	1	1	1	0
YDL117W	42	30	34	49	63	48	61	49	52	45	39	44
YDL116W	43	28	22	34	52	51	70	60	80	47	48	54
YDL115C	78	56	58	86	86	88	148	130	114	269	208	213
YDL114W-A	2	0	0	1	0	0	1	0	1	0	0	0
YDL114W	1	0	0	1	0	1	3	0	0	3	3	3
YDL113C	109	78	65	112	104	140	177	140	147	256	282	250
YDL112W	36	27	27	48	35	56	102	88	89	41	24	23
YDL111C	37	25	30	30	32	38	70	62	58	46	44	29
YDL110C	42	34	31	49	47	60	99	88	85	290	241	182
YDL109C	13	8	10	15	14	21	22	30	17	25	39	29
YDL108W	29	24	23	31	46	50	54	56	52	54	38	43
YDL107W	24	14	16	43	31	30	49	54	27	55	48	45
YDL106C	49	33	49	63	59	81	128	104	96	139	106	75
YDL105W	10	5	6	17	12	14	25	28	21	59	29	20
YDL104C	1	2	0	5	5	4	15	19	16	19	15	13
YDL103C	18	5	7	19	11	11	20	15	19	21	25	18
YDL102W	43	33	35	43	39	58	91	96	80	62	68	56
YDL101C	8	9	8	12	11	19	19	23	9	14	15	14
YDL100C	127	83	97	144	130	160	311	272	296	284	281	338
YDL099W	303	209	268	369	388	409	429	430	380	766	652	564
YDL098C	46	37	35	59	51	65	141	68	145	65	50	54
YDL097C	40	51	50	46	77	75	156	143	1031	335	246	186
YDL096C	0	0	0	0	0	0	1	0	0	0	0	0
YDL095W	34	22	24	35	31	42	62	55	81	58	69	76
YDL094C	0	0	0	0	0	2	0	0	1	0	1	1
YDL093W	5	5	4	7	4	5	10	12	12	11	13	9
YDL092W	32	34	32	45	51	53	58	63	51	78	60	66
YDL091C	34	27	27	51	31	51	82	62	73	109	81	72
YDL090C	12	6	9	10	12	11	22	20	21	38	18	21
YDL089W	16	5	8	10	5	14	16	20	18	56	66	45
YDL088C	47	42	61	76	68	69	161	121	96	153	150	100
YDL087C	12	8	8	18	18	11	27	16	17	24	31	15
YDL086W	27	16	22	34	30	32	53	44	41	74	68	63
YDL086C-A	3	3	2	5	2	4	7	6	4	2	0	1
YDL085C-A	33	26	39	38	39	55	83	72	59	77	77	52
YDL085W	12	6	6	13	16	15	26	25	12	235	178	195
YDL084W	135	92	88	135	155	155	235	217	289	133	133	113
