Geneid	RNASEQ001_S288C_untreated_r1	RNASEQ002_S288C_untreated_r1	RNASEQ003_S288C_untreated_r1	RNASEQ007_S288C_diamide_r2	RNASEQ008_S288C_diamide_r2	RNASEQ009_S288C_diamide_r2
YDL248W	260	217	258	221	201	161
YDL247W-A	3	2	4	0	2	1
YDL247W	8	10	7	4	1	6
YDL246C	0	0	0	13	10	6
YDL245C	0	0	2	3	0	3
YDL244W	18	15	12	89	114	124
YDL243C	229	168	186	1674	1548	2168
YDL242W	1	1	2	16	16	12
YDL241W	206	194	189	44	45	36
YDL240C-A	0	0	0	0	0	0
YDL240W	272	247	210	377	394	399
YDL239C	258	216	216	331	322	316
YDL238C	253	212	204	446	417	426
YDL237W	1084	1000	1099	1025	1035	1172
YDL236W	1919	1790	1682	998	953	1434
YDL235C	952	790	714	1097	1192	1361
YDL234C	2537	2299	2282	6712	7203	6913
YDL233W	506	429	410	1069	1078	1065
YDL232W	297	239	291	516	516	562
YDL231C	1057	1042	941	660	706	758
YDL230W	428	304	323	890	814	859
YDL229W	19196	18316	18464	1344	1498	2071
YDL228C	5	4	4	0	0	2
YDL227C	209	175	182	61	68	69
YDL226C	1697	1526	1248	878	910	970
YDL225W	1414	1241	1252	941	938	1008
YDL224C	1018	711	620	962	921	1010
YDL223C	636	509	495	3942	3901	3035
YDL222C	448	406	473	8955	7918	6476
YDL221W	11	14	10	21	14	21
YDL220C	178	164	166	231	240	227
YDL219W	356	331	315	137	139	159
YDL218W	36	18	30	1007	811	983
YDL217C	303	344	246	421	420	541
YDL216C	321	283	295	330	331	348
YDL215C	4027	3269	3498	33899	33411	30105
YDL214C	231	192	186	3963	3896	2739
YDL213C	985	910	841	702	620	783
YDL212W	1907	1978	1819	2367	2313	2842
YDL211C	37	43	51	105	102	134
tG(GCC)D1	0	0	0	0	0	0
YDL210W	31	27	38	117	96	118
YDL209C	97	87	98	302	268	351
YDL208W	1200	1088	1038	705	663	969
YDL207W	967	806	864	917	881	993
YDL206W	565	443	486	905	848	962
YDL205C	781	655	628	427	361	469
YDL204W	2004	1666	1767	11396	10931	9303
YDL203C	539	441	343	696	654	729
YDL202W	610	491	499	661	616	744
YDL201W	908	789	732	593	553	721
YDL200C	136	127	132	552	586	586
YDL199C	401	296	305	1286	1147	1102
YDL198C	1526	1330	1347	532	520	606
YDL197C	848	671	691	1026	1056	940
YDL196W	8	5	3	4	3	1
YDL195W	3290	3121	2739	2503	2547	2642
YDL194W	674	524	575	1305	1323	1184
YDL193W	960	841	764	1128	1128	1243
YDL192W	4027	3650	3605	3082	3345	4807
YDL191W	6273	5435	5157	896	1041	1247
YDL190C	1493	1405	1499	1202	1254	1358
YDL189W	771	557	533	394	410	386
YDL188C	910	751	796	982	1032	1049
YDL187C	22	34	34	6	9	12
YDL186W	1	1	0	0	2	3
YDL185C-A	0	0	0	0	0	0
YDL185W	8111	7867	7680	5916	6151	6776
YDL184C	6319	5488	5820	2051	2237	2838
YDL183C	356	312	325	843	825	756
YDL182W	3031	3081	2867	1857	1632	1605
YDL181W	424	368	350	2474	2541	2700
YDL180W	556	472	485	772	772	731
YDL179W	366	344	355	426	429	482
YDL178W	1088	987	1044	1004	960	1198
YDL177C	92	70	78	147	156	188
YDL176W	339	279	263	412	367	422
YDL175C	492	439	456	504	472	500
YDL174C	2557	2220	2320	11642	12387	10649
YDL173W	743	555	616	4557	4650	5469
YDL172C	10	6	2	8	3	11
YDL171C	2036	1630	1825	683	702	904
YDL170W	802	733	768	220	203	247
YDL169C	180	128	108	1681	1727	1604
YDL168W	1050	945	964	2293	2152	2475
YDL167C	654	660	607	316	272	336
YDL166C	499	379	363	468	480	603
YDL165W	533	532	507	676	710	829
YDL164C	508	534	450	568	535	606
YDL163W	0	0	1	0	0	0
YDL162C	2	1	1	0	1	0
YDL161W	1708	1367	1460	1263	1390	1245
YDL160C-A	172	176	175	193	187	236
YDL160C	1474	1323	1253	2999	3127	2791
YDL159W-A	0	1	0	1	0	1
YDL159W	563	448	447	1120	1128	1058
YDL159C-B	0	0	0	0	0	1
YDL158C	61	52	58	68	55	59
YDL157C	451	398	399	348	445	529
YDL156W	141	148	140	173	158	107
YDL155W	778	617	655	694	732	742
YDL154W	195	222	203	243	257	320
YDL153C	2528	2363	2505	822	765	876
YDL152W	0	0	0	0	0	1
YDL151C	0	0	0	0	1	1
YDL150W	1127	982	971	481	495	537
YDL149W	312	249	272	946	959	838
YDL148C	2132	1922	1919	333	299	417
YDL147W	3938	3519	3692	6046	6075	6870
YDL146W	625	609	617	426	354	340
YDL145C	4230	3782	4051	2208	2261	2254
YDL144C	534	473	423	1236	1300	1583
YDL143W	3456	2915	3130	3194	3144	3734
YDL142C	420	424	447	593	596	661
YDL141W	640	524	518	396	355	380
YDL140C	2602	2381	1880	3352	3472	3696
YDL139C	206	205	181	260	228	271
YDL138W	194	148	165	458	392	325
YDL137W	2741	2602	2687	9656	9803	11592
YDL136W	3160	2815	2577	438	517	606
YDL135C	1007	912	879	901	959	1090
YDL134C	1815	1583	1654	2751	2751	2739
YDL133C-A	5935	5218	4981	1632	1613	2995
YDL133W	588	469	515	1606	1629	1539
YDL132W	1834	1613	1660	2809	2796	2794
YDL131W	2598	2375	2348	1221	1240	1261
YDL130W-A	954	791	838	8816	9146	9068
YDL130W	5580	4981	5255	1032	1234	1446
YDL129W	499	419	394	167	154	125
YDL128W	1843	1687	1689	2667	2554	2563
YDL127W	214	194	187	261	227	228
YDL126C	10247	9036	9328	15464	15787	17219
YDL125C	3111	2726	2809	8447	8846	10896
YDL124W	6861	6391	5677	25027	25967	29721
YDL123W	434	370	313	604	563	583
YDL122W	1494	1318	1377	1176	1185	1489
YDL121C	891	808	754	356	369	460
YDL120W	682	463	516	513	437	670
YDL119C	310	225	249	534	475	499
YDL118W	3	0	0	1	2	3
YDL117W	573	534	529	392	332	430
YDL116W	1344	1215	1267	841	843	910
YDL115C	868	686	696	2148	2213	2433
YDL114W-A	3	1	3	0	0	1
YDL114W	3	2	1	33	24	44
YDL113C	1203	1024	985	1556	1568	1624
YDL112W	1045	1074	1036	427	424	449
YDL111C	945	925	714	694	656	792
YDL110C	1262	1003	1015	3967	4183	3859
YDL109C	198	198	171	243	234	259
YDL108W	431	403	425	456	446	527
YDL107W	220	200	209	405	427	461
YDL106C	689	592	626	870	836	815
YDL105W	182	168	181	195	245	204
YDL104C	163	137	136	339	326	413
YDL103C	863	775	830	747	837	905
YDL102W	416	417	430	395	404	399
YDL101C	286	250	272	271	235	274
YDL100C	3342	2995	3122	3700	3750	4927
YDL099W	1341	1133	1150	2677	2683	2914
YDL098C	207	173	135	259	245	321
YDL097C	3749	3362	3294	7116	7230	8192
YDL096C	0	1	0	0	0	0
YDL095W	2185	2189	2096	3178	3378	3818
YDL094C	4	7	5	10	6	14
YDL093W	475	429	458	244	261	265
YDL092W	976	863	807	1059	1020	1263
YDL091C	610	530	521	977	995	1070
YDL090C	370	345	364	614	572	574
YDL089W	416	364	407	1027	982	1005
YDL088C	1003	875	935	1228	1154	1198
YDL087C	251	205	199	324	257	290
YDL086W	1239	1103	1039	1980	2024	2054
YDL086C-A	51	63	55	5	10	14
YDL085C-A	268	222	223	257	242	252
YDL085W	116	115	113	6323	6270	6193
YDL084W	6801	6433	6431	3664	3846	4919
YDL083C	9700	8837	8621	695	844	991
YDL082W	8713	8188	7983	674	735	945
YDL081C	8253	7470	6208	1436	1588	2243
YDL080C	704	558	640	318	295	384
YDL079C	1706	1340	1378	1194	1156	1028
YDL078C	1861	1775	1812	6338	6482	6514
YDL077C	667	595	618	544	541	510
YDL076C	648	584	605	1031	959	936
YDL075W	11322	10485	10091	1145	1432	1683
snR63	210	144	178	20	15	33
YDL074C	1574	1393	1433	874	789	957
YDL073W	692	623	639	413	398	462
YDL072C	2652	2409	2322	7631	7819	8845
