geneId	log2FC	logCPM	F	PValue	FDR
YDL244W	2.52739382272382	2.70126661522443	155.262519421801	1.70553668650886e-07	5.37830135719017e-07
YDL243C	2.88092293728671	6.58813846601541	657.178240600986	1.37281549320324e-10	1.43563514209717e-09
YDL242W	3.03400606339202	0.0457091006765798	38.4811438534383	9.32117201128083e-05	0.00015922660067755
YDL241W	-2.55642968882925	3.69653438410301	365.675858262887	2.57017843931235e-09	1.54197149266698e-08
YDL236W	-1.00313904411468	7.29125385468071	82.2124888998687	3.39015485951746e-06	7.65598115737651e-06
YDL234C	1.22582562296046	8.85504202243698	291.190640745343	7.94036595737973e-09	3.90681846232175e-08
YDL229W	-3.84428120062917	10.1849439549233	797.59540502492	5.18390340008066e-11	7.15862094146168e-10
YDL227C	-1.83669338031565	3.78199447594073	276.459442683473	1.02574248790096e-08	4.84546670860799e-08
YDL226C	-1.01871180201991	7.01208641306413	160.39220250008	1.45866101023831e-07	4.6999534673928e-07
YDL223C	2.41548454556912	7.66488317864496	358.278346763828	2.84473334805301e-09	1.67209301758945e-08
YDL222C	3.81672247674298	8.61453684577808	658.814370633734	1.35577614137002e-10	1.42032548332197e-09
YDL219W	-1.52869691774012	4.69041759820544	317.490302629093	5.17885866533427e-09	2.75167544345723e-08
YDL218W	4.73031437229484	5.5440025165991	940.664308244146	2.25707137365817e-11	4.26824455612866e-10
YDL215C	2.85574063713827	10.7543749498037	738.575463956298	7.63300618949085e-11	9.37339494514447e-10
YDL214C	3.80672485752591	7.48506895464496	502.844764562873	5.25190258030226e-10	4.17822733505499e-09
YDL211C	1.04822096729784	3.04605710577042	35.7645053613604	0.000125693101718435	0.000209394165232597
YDL210W	1.45625065848898	2.90181224639003	71.2708205542728	6.48713341363433e-06	1.38468599622436e-05
YDL209C	1.37868435814674	4.35351063559967	148.968468215191	2.08034252345463e-07	6.39662481653842e-07
YDL205C	-1.03921395780951	5.88661527252064	165.569236589332	1.25161703132879e-07	4.12260501304123e-07
YDL204W	2.22289054139579	9.22849735457863	426.37021003476	1.1969618357319e-09	8.2381594252292e-09
YDL200C	1.80022454403881	5.14620040845286	467.933678655886	7.52492000321521e-10	5.63084721858796e-09
YDL199C	1.50089704891634	6.23638454486972	232.202093256821	2.41705152802435e-08	1.0018577026874e-07
YDL198C	-1.66700437011756	6.73603667575253	844.313431280255	3.89170800550319e-11	5.96762167994129e-10
YDL191W	-2.73125395474366	8.55172595180871	764.472573077542	6.4178065427896e-11	8.27603418883913e-10
YDL187C	-2.05026657640888	1.16558829917136	38.1193154537986	9.69010633128476e-05	0.000164673383218129
YDL184C	-1.6360411030242	8.81998682464299	294.984417718336	7.44879474253766e-09	3.70188212267678e-08
YDL182W	-1.14264234787435	7.98627948993562	163.891450046701	1.31461724493847e-07	4.29190263253769e-07
YDL181W	2.4324586888518	7.16383744780083	1611.35006785737	1.4853245091555e-12	9.82513594457997e-11
YDL174C	1.96879134654599	9.40763682623594	435.593011181479	1.07581685481101e-09	7.56266028934245e-09
YDL173W	2.61556305599078	8.05591929659045	955.227315820576	2.08875780055093e-11	4.02715225454754e-10
YDL171C	-1.58876272829129	7.14210173937634	339.642576924582	3.7080006124105e-09	2.10226586444998e-08
YDL170W	-2.10763173387844	5.76497756340288	850.775652222056	3.74503095530514e-11	5.85502746037714e-10
YDL169C	3.27223869309908	6.4523817045716	789.586886090812	5.45410672844812e-11	7.3873816305914e-10
YDL167C	-1.3834147853992	5.67851394277061	285.483543604444	8.7550697296852e-09	4.23722467130063e-08
YDL153C	-1.91408362580715	7.50191598429556	829.826474083197	4.24627206838618e-11	6.28342109319446e-10
YDL150W	-1.34935397918811	6.3702946503803	589.143113358427	2.3758462752004e-10	2.19044144905158e-09
YDL149W	1.39941942083055	5.90141921842973	223.866623750234	2.89060172775818e-08	1.16708537698504e-07
YDL148C	-2.83714235964823	7.03453977481389	1107.66821943628	9.89159269967895e-12	2.55669594713536e-10
YDL146W	-1.04897979350046	5.73088982423889	106.987497784564	1.00013321588991e-06	2.53524132970124e-06
YDL145C	-1.16789068328489	8.40302540466716	289.780930914947	8.13285554693379e-09	3.99820365301504e-08
YDL144C	1.19999238232701	6.53047949189724	221.951070563132	3.01465226173373e-08	1.20737147971381e-07
YDL137W	1.62121774405716	9.31896652970259	419.58789966825	1.29655155788963e-09	8.80078976049168e-09
YDL136W	-2.77933645144159	7.5616412122403	888.191493042372	3.01473504209879e-11	5.01242042533224e-10
YDL133C-A	-1.70663929641151	8.6735000769816	88.5214863233146	2.41370137366099e-06	5.63355616352499e-06
YDL133W	1.28205260796659	6.72357842711164	312.318861183592	5.61722323319493e-09	2.93454053991887e-08
YDL131W	-1.30015537723759	7.6403438564831	487.437078933123	6.13609783182831e-10	4.76264746917027e-09
YDL130W-A	3.06566488052376	8.88224637386935	1627.60373160385	1.41170577824968e-12	9.82513594457997e-11
YDL130W	-2.42018080733146	8.50711251570269	601.190356879587	2.1464760131226e-10	2.04678402223643e-09
YDL129W	-1.87464353465373	4.99217663319629	237.079935323231	2.18298011146757e-08	9.20168833863076e-08
YDL125C	1.37668827660885	9.24189297163619	268.185748609988	1.19133459741808e-08	5.49182981473335e-08
YDL124W	1.76618937088124	10.6617980142525	393.836645287773	1.77733555515786e-09	1.14973214764802e-08
YDL121C	-1.37590927002757	6.03258334561371	316.702441757338	5.24292762085945e-09	2.77823532568192e-08
YDL115C	1.27229812765003	7.22861518261841	385.331457556371	1.98125663666123e-09	1.25691940325807e-08
YDL114W	3.67468317035704	1.02609460882182	73.0472971134664	5.80470151423451e-06	1.25029214929964e-05
YDL112W	-1.60693096616334	6.3392594626971	540.062618927309	3.67388568952192e-10	3.11990378712772e-09
YDL110C	1.55431913307154	7.97436459145064	373.400733468697	2.31661017344171e-09	1.42536544871117e-08
YDL093W	-1.1478067674497	5.25177488799559	223.291056421031	2.92722247278478e-08	1.17945744155297e-07
YDL089W	1.0199855021109	6.14317210342855	225.293776579605	2.80213691046787e-08	1.13291314023629e-07
YDL086C-A	-2.85419012830376	1.87846225549482	101.631866921576	1.27168844983447e-06	3.15480001810585e-06
YDL085W	5.44560962242735	8.23247431338038	3698.77365759422	2.19125340680004e-14	2.55425462614667e-11
YDL083C	-3.75251014861275	9.14328645043473	1197.95766062413	6.65727200714302e-12	2.15324551968741e-10
YDL082W	-3.73249462626366	9.01928905871154	1254.08688300486	5.28151397916617e-12	1.90617568552955e-10
YDL081C	-2.3870674401126	8.981571042915	303.995834986024	6.41982889826925e-09	3.2814306777941e-08
YDL080C	-1.25703554395712	5.69831236494921	208.169253818348	4.12257120521655e-08	1.57734317800108e-07
YDL078C	1.50128712291221	8.67092643911946	446.559206524306	9.50321600745629e-10	6.79342216764901e-09
YDL075W	-3.23384890056228	9.41915883902556	783.5867886034	5.66763374728094e-11	7.52168702918294e-10
snR63	-3.28322952657812	3.44869525786561	246.82380251573	1.79162887329428e-08	7.76328792169022e-08
YDL074C	-1.0741056326455	6.9734983980298	302.574933457373	6.57020994861714e-09	3.34098562593341e-08
YDL072C	1.39223647099386	9.02585842772399	405.404081377249	1.53881728280334e-09	1.01428279475646e-08
YDL070W	1.01905400216034	8.25261091450897	167.256798289495	1.19185880524549e-07	3.94332714826609e-07
YDL067C	1.67078311843083	7.89450642144422	475.242188689835	6.96434138378988e-10	5.27809688228583e-09
YDL063C	-3.66060148919636	5.7904051844658	974.870305520456	1.88489214171797e-11	3.76914749555022e-10
YDL061C	-2.74820569953887	8.21363235337989	664.737679866536	1.29616771606419e-10	1.37825498038359e-09
YDL060W	-1.86889917189297	6.62097428999261	920.284121435729	2.52071320492714e-11	4.49122813724836e-10
tK(UUU)D	-1.11852574736222	0.747141081553438	8.58777385012325	0.0147494974041174	0.0186782788050858
YDL051W	-1.47429407092366	7.58051736695958	343.900408689918	3.48585909649356e-09	1.98966248718856e-08
YDL049C	2.92529815396253	6.19056423978093	1193.79155058598	6.77554033067697e-12	2.15629909125828e-10
YDL048C	-1.61629387202278	7.40138597018858	339.315081284791	3.72577815571107e-09	2.11032353145013e-08
YDL046W	1.59826376257563	8.91487132851546	365.918745074666	2.56171501741993e-09	1.53936966376737e-08
YDL045W-A	1.3018958518142	5.63012271597633	174.869191328976	9.61261991550645e-08	3.28505180599784e-07
YDL040C	-2.00360864242175	7.51830092788187	890.575534276714	2.97426981512605e-11	4.99760805819637e-10
YDL039C	-2.78473076690541	5.42208450052608	417.377998943575	1.33112224078973e-09	8.96349549856023e-09
YDL037C	-3.4613393298312	3.30560385344228	275.643136895823	1.0407986729722e-08	4.89704876416727e-08
YDL027C	1.45748496209638	7.27393793576396	649.845326012055	1.45240371110261e-10	1.50031022094526e-09
YDL024C	2.97875979095032	4.8293161211957	593.640433087376	2.28694337572629e-10	2.12637857785187e-09
YDL022C-A	3.4538665749975	0.365921779899236	53.3060920537124	2.3475190322825e-05	4.46496309514143e-05
YDL022W	-1.04813231827548	9.29415011917028	124.543274787297	4.88623305701051e-07	1.3514772646937e-06
YDL021W	1.19109628149003	5.81565774412887	294.389725789248	7.52339227024741e-09	3.72332431836074e-08
YDL020C	2.04475458456992	9.43981836090909	521.241846568933	4.38776950686264e-10	3.60945658240155e-09
YDL014W	-2.19819752415485	7.59920327838346	690.959211237896	1.06716447835853e-10	1.19100139141085e-09
YDL004W	1.56192539548377	8.27130512711522	480.868909852496	6.56657289716438e-10	5.02164663802532e-09
YDL003W	-1.94339636836636	4.48339313182148	349.136659366694	3.23410799757806e-09	1.86394208740648e-08
YDR002W	-1.00428881030101	8.78568551236504	140.727190053018	2.73174524389561e-07	8.14979843680347e-07
YDR003W-A	1.38438799864883	5.001343597714	210.651641679226	3.8909831170951e-08	1.4997302284004e-07
YDR009W	3.15405056654409	5.76080920382118	725.944711684247	8.32486754740945e-11	9.95898139006596e-10
YDR011W	-1.46273017471152	8.15727431191061	514.552790550558	4.68072197770548e-10	3.81614233967476e-09
YDR012W	-2.48216659105414	8.78671457004017	948.933654014605	2.15958778061924e-11	4.11016079533288e-10
YDR014W-A	2.93568941364956	2.88758693358069	187.689342635103	6.82293918030321e-08	2.424068247792e-07
YDR018C	2.4483432942851	5.62692987045333	458.078116567604	8.36884802737301e-10	6.14499983935236e-09
YDR020C	-1.90973713157972	4.27490603649922	340.629751585035	3.65502417627491e-09	2.07421745919187e-08
YDR021W	-2.44624729122812	4.56568013231131	472.276110373147	7.18560859109717e-10	5.40668358963692e-09
YDR022C	1.66834359870763	5.00653003054657	345.2646952682	3.41807351618838e-09	1.95852634485179e-08
YDR023W	-2.81578313405505	9.12335306904243	1093.7320415022	1.05448960597077e-11	2.67876565568284e-10
YDR024W	-1.54146879011006	0.624840715586728	23.4794289659601	0.000640640582546414	0.000960474064866318
YDR025W	-3.16670208827643	8.87455121823242	1110.77168594883	9.75276866286842e-12	2.54029800905953e-10
YDR029W	2.66681582410511	0.22505190479961	37.6194730820951	0.000102289497389293	0.000173035591611095
YDR030C	1.85898033532254	5.2543869978519	434.38879506992	1.0907729829798e-09	7.6496271164188e-09
YDR031W	1.45840465384419	5.6575211769051	235.190753235968	2.27027036081388e-08	9.50334530810279e-08
