seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
I	   9327	   9327	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	  24828	  24870	+	  8	 100	0.42	  43	  -6.97	-0.42	0.19	NA
I	  24918	  24918	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	  24994	  25000	+	  2	  15	0.53	   7	  -0.20	 1.00	0.00	NA
I	  31108	  31119	+	  2	  15	0.53	  12	  -0.37	 1.00	0.00	NA
I	  31188	  31242	+	  5	  57	0.33	  55	   3.61	-0.12	0.09	NA
I	  31517	  31539	+	  5	  28	0.32	  23	   2.14	-0.18	0.06	gene:YAL062W
I	  31977	  31977	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	  33345	  33359	+	  2	  27	0.81	  15	   4.41	 1.31	0.31	gene:YAL061W
I	  33872	  33872	+	  1	   5	1.00	   1	   0.00	 2.00	1.00	NA
I	  33978	  34003	+	  2	   7	0.57	  26	  -1.79	 1.01	0.01	NA
I	  34096	  34096	+	  1	   4	1.00	   1	   0.00	 2.00	1.00	NA
I	  35057	  35107	+	  5	  37	0.46	  51	  12.05	-0.01	0.14	gene:YAL060W
I	  36525	  36525	+	  1	   9	1.00	   1	   0.00	 2.00	1.00	gene:YAL059W
I	  36567	  36567	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	gene:YAL059W
I	  39195	  39237	+	  7	  31	0.23	  43	  -5.13	-0.76	0.02	gene:YAL056W
I	  42134	  42212	+	 17	 126	0.17	  79	  -4.49	-1.89	0.05	gene:YAL055W
I	  45761	  45769	+	  2	   9	0.56	   9	   0.44	 1.01	0.01	gene:YAL053W
I	  45810	  45879	+	 10	  56	0.20	  70	  -2.13	-1.17	0.05	gene:YAL053W
I	  46661	  46661	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	  48539	  48566	+	  5	  37	0.27	  28	   4.01	-0.23	0.04	gene:YAL051W
I	  57493	  57524	+	  8	  42	0.43	  32	   3.24	-0.58	0.14	gene:YAL044W-A
I	  61269	  61309	+	 10	  72	0.25	  41	   2.57	-1.08	0.07	gene:YAL042W
I	  61460	  61460	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	  61537	  61537	+	  1	   8	1.00	   1	   0.00	 2.00	1.00	NA
I	  61619	  61619	+	  1	   6	1.00	   1	   0.00	 2.00	1.00	NA
I	  62025	  62025	+	  1	   4	1.00	   1	   0.00	 2.00	1.00	NA
I	  62066	  62363	+	 26	 109	0.06	 298	  15.68	-2.62	0.02	NA
I	  62773	  62808	+	  3	  17	0.35	  36	  -4.26	 0.42	0.00	gene:YAL041W
I	  70507	  70507	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	  71680	  71780	+	 14	 307	0.50	 101	  23.86	-0.57	0.32	gene:YAL038W
I	  71852	  71864	+	  3	  11	0.36	  13	  -0.55	 0.43	0.01	gene:YAL038W
I	  72395	  72497	+	  6	  29	0.28	 103	  10.62	-0.44	0.06	NA
I	  72551	  72601	+	  9	  33	0.15	  51	  -1.91	-1.14	0.01	NA
I	  72695	  72827	+	 10	  42	0.14	 133	  -0.98	-1.26	0.02	NA
I	  72887	  72887	+	  1	   4	1.00	   1	   0.00	 2.00	1.00	NA
I	  76371	  76418	+	 13	 384	0.47	  48	   3.32	-0.52	0.32	gene:YAL035W
I	  76508	  76513	+	  2	   8	0.62	   6	  -0.62	 1.05	0.05	gene:YAL035W
I	  76556	  76556	+	  1	   6	1.00	   1	   0.00	 2.00	1.00	NA
I	  76768	  76768	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	  77041	  77041	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	  77119	  77119	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	  77167	  77181	+	  2	  10	0.60	  15	  -1.40	 1.03	0.03	NA
I	  77249	  77260	+	  2	   8	0.62	  12	  -1.38	 1.05	0.05	NA
I	  77303	  77303	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	  77578	  77578	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	  79674	  79695	+	  2	   8	0.50	  22	   0.00	 1.00	0.00	gene:YAL034W-A
I	  87250	  87270	+	  5	  51	0.55	  21	   1.14	 0.16	0.21	gene:YAL030W
I	  92849	  92889	+	  5	  16	0.25	  41	  -1.38	-0.31	0.00	gene:YAL028W
I	  94595	  94646	+	  5	  19	0.37	  52	   8.61	-0.21	0.05	gene:YAL027W
I	 114803	 114809	+	  2	  10	0.50	   7	   0.00	 1.00	0.00	gene:YAL019W
I	 119850	 119899	+	  9	  74	0.38	  50	  -6.68	-0.69	0.15	NA
I	 119953	 119960	+	  2	  14	0.57	   8	  -0.50	 1.01	0.01	NA
I	 120530	 120530	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	 120686	 120686	+	  1	   7	1.00	   1	   0.00	 2.00	1.00	NA
I	 123014	 123014	+	  1	   5	1.00	   1	   0.00	 2.00	1.00	NA
I	 123272	 123272	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	 123555	 123555	+	  1	   4	1.00	   1	   0.00	 2.00	1.00	NA
I	 123889	 123889	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	 124782	 124818	+	 10	 105	0.25	  37	  -3.41	-0.88	0.13	gene:YAL016W
I	 124968	 124968	+	  1	   7	1.00	   1	   0.00	 2.00	1.00	gene:YAL016W
I	 129200	 129351	+	 35	 778	0.15	 152	 -39.23	-2.39	0.14	gene:YAL013W
I	 129416	 129416	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	 130701	 130744	+	  5	  40	0.50	  44	  11.95	 0.11	0.18	gene:YAL012W
I	 132185	 132185	+	  1	   4	1.00	   1	   0.00	 2.00	1.00	gene:YAL011W
I	 135815	 135829	+	  3	  25	0.64	  15	   3.76	 0.70	0.18	gene:YAL009W
I	 136706	 136751	+	  3	   9	0.33	  46	   3.83	 0.42	0.00	gene:YAL008W
I	 136815	 136882	+	  9	 112	0.21	  68	  15.20	-0.89	0.09	gene:YAL008W
I	 137169	 137169	+	  1	   5	1.00	   1	   0.00	 2.00	1.00	NA
I	 142035	 142035	+	  1	   4	1.00	   1	   0.00	 2.00	1.00	gene:YAL003W
I	 142117	 142195	+	 15	 192	0.26	  79	 -10.32	-1.44	0.12	gene:YAL003W
I	 142246	 142246	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	gene:YAL003W
I	 142648	 142648	+	  1	   4	1.00	   1	   0.00	 2.00	1.00	NA
I	 142696	 142858	+	 10	  41	0.20	 163	  -8.05	-1.22	0.03	NA
I	 142903	 142903	+	  1	   5	1.00	   1	   0.00	 2.00	1.00	NA
I	 143572	 143572	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	gene:YAL002W
I	 143616	 143616	+	  1	   6	1.00	   1	   0.00	 2.00	1.00	gene:YAL002W
I	 152208	 152228	+	  3	  31	0.71	  21	  -1.16	 0.86	0.28	gene:YAR002W
I	 158847	 158864	+	  3	  15	0.33	  18	  -1.83	 0.42	0.00	gene:YAR008W
I	 169236	 169286	+	  6	  38	0.39	  51	   9.53	-0.25	0.13	gene:YAR015W
I	 183690	 183690	+	  1	   4	1.00	   1	   0.00	 2.00	1.00	gene:YAR027W
I	 189666	 189666	+	  1	   4	1.00	   1	   0.00	 2.00	1.00	NA
I	 190145	 190217	+	 10	  58	0.29	  73	 -19.98	-1.05	0.08	gene:YAR035W
I	 192026	 192026	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	 192567	 192612	+	  3	  13	0.46	  46	  -4.73	 0.47	0.04	gene:YAR042W
I	 192839	 192839	+	  1	   4	1.00	   1	   0.00	 2.00	1.00	NA
I	 195560	 195581	+	  2	   6	0.50	  22	   0.00	 1.00	0.00	NA
I	 195649	 195649	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	 195690	 195690	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	 195777	 195808	+	  2	   6	0.50	  32	   0.00	 1.00	0.00	NA
I	 199216	 199216	+	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	 199256	 199256	+	  1	   4	1.00	   1	   0.00	 2.00	1.00	NA
I	   6331	   6331	-	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
I	   9038	   9038	-	  1	   3	1.00	   1	   0.00	 2.00	1.00	gene:YAL067C
I	  32684	  32728	-	  4	  26	0.27	  45	  -2.23	 0.01	0.01	NA
I	  43318	  43318	-	  1	   4	1.00	   1	   0.00	 2.00	1.00	NA
I	  43439	  43463	-	  2	   7	0.57	  25	  -1.71	 1.01	0.01	NA
I	  43696	  43696	-	  1	   3	1.00	   1	   0.00	 2.00	1.00	NA
