seqnames	start	end	width	strand	log2FC	logCPM	F	PValue	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
I	101151	101196	46	-	-1.65216049041188	9.55458878570828	132.606091103287	1.3520306120327e-07	2.27646399936024e-06	Promoter	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	-51
I	114803	114818	16	+	-1.06631349820898	5.57722120707579	7.87805682929031	0.0166505098313276	0.0307948995968225	Promoter	1	114919	118314	3396	1	YAL019W	YAL019W_mRNA	-101
I	124782	124818	37	+	1.03271979892775	7.90691724599903	37.8291722394649	6.36949122008648e-05	0.000273315205264028	Promoter	1	124879	126786	1908	1	YAL016W	YAL016W_mRNA	-61
I	130686	130779	94	+	-2.20261238638537	8.65417030901149	207.173511980928	1.25824402589856e-08	4.29795117077498e-07	Promoter	1	130799	131983	1185	1	YAL012W	YAL012W_mRNA	-20
I	136815	136905	91	+	2.20348926756036	7.79525285237602	51.2995926300775	1.57624914045235e-05	9.0984914797641e-05	Promoter	1	136914	137510	597	1	YAL008W	YAL008W_mRNA	-9
I	140597	141029	433	-	3.16100708041665	8.92086532710101	110.530838565482	3.49171295229843e-07	4.69355669223319e-06	Promoter	1	140760	141407	648	1	YAL004W	YAL004W_mRNA	0
I	141182	141675	494	-	1.39649375570606	11.2395137654747	54.7711290003593	1.15595565470437e-05	7.16545250419295e-05	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	0
I	142117	142246	130	+	-1.70883253458037	10.0702484447745	104.344442103248	4.69997185447536e-07	5.99936508650954e-06	Promoter	1	142174	143160	987	1	YAL003W	YAL003W_mRNA	0
I	158847	158897	51	+	-1.3598119802955	6.74503790235831	23.8523335783544	0.000445498590465083	0.00140674636028754	Promoter	1	158966	159793	828	1	YAR008W	YAR008W_mRNA	-69
I	165849	165919	71	-	1.16932423545638	6.54795502154676	13.9904065170305	0.00311042274268806	0.00730468970362939	Promoter	1	164544	165866	1323	2	YAR010C	YAR010C	0
I	190145	190217	73	+	2.78887232104051	6.94123138326743	130.917027738789	1.44605442547544e-07	2.3691922001224e-06	Promoter	1	190193	192256	2064	1	YAR035W	YAR035W_mRNA	0
I	192549	192619	71	+	1.4720380705646	6.39159021375453	8.04719632569021	0.0157709929851308	0.029357938739727	Promoter	1	192619	196185	3567	1	YAR042W	YAR042W_mRNA	0
I	31517	31542	26	+	7.88148948310116	5.75919486961821	94.7455616478269	3.4662032248734e-06	2.82049245689531e-05	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-25
I	36511	36571	61	+	-2.35184211072012	6.58935270720147	58.9447675628911	8.13281703381703e-06	5.51173923211054e-05	Promoter	1	36509	37147	639	1	YAL059W	YAL059W_mRNA	2
I	39190	39237	48	+	1.57144991651703	6.28947395320368	14.4861083459556	0.00277031732811962	0.00661775361739327	Promoter	1	39259	41901	2643	1	YAL056W	YAL056W_mRNA	-22
I	45037	45102	66	-	11.3098299467339	8.92864511250368	664.16985982083	5.58675231548166e-10	8.4953552397293e-08	Promoter	1	42881	45022	2142	2	YAL054C	YAL054C_mRNA	-80
I	45742	45951	210	+	2.38517015245889	7.68882179485487	66.8958297084471	4.39823202711043e-06	3.34926401313292e-05	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	0
I	52617	52669	53	-	1.31540626601103	6.29557672869254	11.6805784440549	0.00552454689796031	0.0119424456710239	Promoter	1	51855	52595	741	2	YAL049C	YAL049C_mRNA	-74
I	76178	76199	22	-	-1.64746446971486	5.35105972439792	9.69367045474256	0.0095562866267456	0.0191440472316773	Promoter	1	75043	76152	1110	2	YAL036C	YAL036C_mRNA	-47
I	76364	76455	92	+	-1.06871651415187	10.6375439105952	49.1327318616936	1.9302098593204e-05	0.00010673183153924	Promoter	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	0
I	81974	82006	33	-	1.51737636119294	7.39050251664768	43.8123080178724	3.28139365904076e-05	0.000161955973215221	Promoter	1	80710	81951	1242	2	YAL034C	YAL034C_mRNA	-55
I	82688	82711	24	+	-2.37481837353399	5.874542541511	17.2465460195752	0.00151461893822015	0.00395181541736153	Promoter	1	82706	83227	522	1	YAL033W	YAL033W_mRNA	0
I	84482	84509	28	-	1.12334250864381	6.65449067079821	19.083274138937	0.00104818503964152	0.00287836817319166	Promoter	1	83335	84474	1140	2	YAL032C	YAL032C_mRNA	-35
I	92849	92893	45	+	-1.40860043467894	6.27934287938561	15.3809794605942	0.00226120505382605	0.00557115128704687	Promoter	1	92900	94486	1587	1	YAL028W	YAL028W_mRNA	-7
II	101161	101224	64	-	1.85107353454756	8.24105861475126	66.7792765466903	4.4359730119982e-06	3.37272573068488e-05	Promoter	2	100371	101156	786	2	YBL064C	YBL064C_mRNA	-68
II	111383	111473	91	+	1.43949422500667	8.23045499293994	79.5285098368195	1.866787398229e-06	1.71392216599667e-05	Promoter	2	111437	112708	1272	1	YBL058W	YBL058W_mRNA	0
II	113626	113651	26	+	1.88958287535553	5.41320191872314	20.5561623322132	0.000793367523699998	0.00228163497064078	Promoter	2	113762	115168	1407	1	YBL056W	YBL056W_mRNA	-111
II	117460	117491	32	+	-2.36712714534704	5.84421616317639	34.2142865711295	9.911586879811e-05	0.000395650383569814	Promoter	2	117589	119166	1578	1	YBL054W	YBL054W_mRNA	-98
II	126591	126717	127	+	9.18153436316687	6.92754765781817	243.608519291352	5.40708907081466e-08	1.13899980167031e-06	Promoter	2	126828	127244	417	1	YBL049W	YBL049W_mRNA	-111
II	132399	132432	34	+	-2.00939132835997	5.969411236763	40.2533717767719	4.82261279731521e-05	0.000221176568065371	Promoter	2	132424	133749	1326	1	YBL046W	YBL046W_mRNA	0
II	136527	136580	54	+	3.60856995670413	6.77869846505586	56.7894501011854	9.72543992832216e-06	6.32673672342455e-05	Promoter	2	136688	137461	774	1	YBL043W	YBL043W_mRNA	-108
II	140316	140349	34	-	-1.81035135479877	6.0598545391254	28.9954154127997	0.0002009490504669	0.000721636959093678	Promoter	2	138341	140260	1920	2	YBL042C	YBL042C_mRNA	-89
II	143270	143351	82	+	7.83652436306378	5.72776564047448	90.8138141097858	4.15397915778504e-06	3.21867238563408e-05	Promoter	2	143393	143572	180	1	YBL039W-B	YBL039W-B_mRNA	-42
