seq	TSS	strand	nTAGs	isreal
I	   9338	+	    2	TRUE
I	  12052	+	    2	TRUE
I	  12442	+	    2	TRUE
I	  12838	+	    1	TRUE
I	  17002	+	    1	TRUE
I	  23774	+	    2	TRUE
I	  23955	+	    1	TRUE
I	  23979	+	    2	TRUE
I	  23988	+	    4	TRUE
I	  23990	+	    9	TRUE
I	  24010	+	    1	TRUE
I	  24714	+	    6	TRUE
I	  24838	+	    5	TRUE
I	  24852	+	    2	TRUE
I	  30022	+	    1	TRUE
I	  30040	+	    1	TRUE
I	  30060	+	    2	TRUE
I	  31188	+	    2	TRUE
I	  31225	+	    1	TRUE
I	  31242	+	    2	TRUE
I	  31307	+	    1	TRUE
I	  31525	+	    3	TRUE
I	  31527	+	    3	TRUE
I	  31529	+	    1	TRUE
I	  31572	+	    3	TRUE
I	  31729	+	    6	TRUE
I	  31732	+	    8	TRUE
I	  31734	+	    1	TRUE
I	  31748	+	    2	TRUE
I	  31760	+	    3	TRUE
I	  31795	+	    4	TRUE
I	  31828	+	    2	TRUE
I	  31842	+	    2	TRUE
I	  31885	+	    2	TRUE
I	  31888	+	    2	TRUE
I	  31890	+	    2	TRUE
I	  31891	+	   14	TRUE
I	  31897	+	    5	TRUE
I	  31903	+	    8	TRUE
I	  31910	+	    3	TRUE
I	  31912	+	    1	TRUE
I	  32014	+	    1	TRUE
I	  32117	+	    3	TRUE
I	  32139	+	    5	TRUE
I	  32340	+	    2	TRUE
I	  33024	+	    2	TRUE
I	  33140	+	    1	TRUE
I	  33284	+	    1	TRUE
I	  33307	+	    1	TRUE
I	  33359	+	   12	TRUE
I	  33720	+	    2	TRUE
I	  33862	+	    3	TRUE
I	  33864	+	    1	TRUE
I	  33994	+	    3	TRUE
I	  33995	+	    1	TRUE
I	  34081	+	    2	TRUE
I	  34664	+	    1	TRUE
I	  35057	+	    2	TRUE
I	  35068	+	    1	TRUE
I	  35103	+	    2	TRUE
I	  35107	+	    3	TRUE
I	  35185	+	   13	TRUE
I	  36012	+	    2	TRUE
I	  36511	+	    7	TRUE
I	  36513	+	    1	TRUE
I	  36522	+	    4	TRUE
I	  36525	+	   59	TRUE
I	  36547	+	    1	TRUE
I	  36556	+	    1	TRUE
I	  36564	+	   12	TRUE
I	  36567	+	   25	TRUE
I	  36571	+	    5	TRUE
I	  36583	+	    3	TRUE
I	  36992	+	    1	TRUE
I	  37378	+	    2	TRUE
I	  37380	+	    5	TRUE
I	  37382	+	    8	TRUE
I	  37389	+	    3	TRUE
I	  37392	+	    3	TRUE
I	  37405	+	    3	TRUE
I	  37415	+	    7	TRUE
I	  37419	+	    6	TRUE
I	  37422	+	    6	TRUE
I	  37508	+	    2	TRUE
I	  37511	+	    1	TRUE
I	  37513	+	    2	TRUE
I	  37841	+	    1	TRUE
I	  38132	+	    1	TRUE
I	  39200	+	    1	TRUE
I	  39237	+	    4	TRUE
I	  41347	+	    2	TRUE
I	  42148	+	    4	TRUE
I	  42150	+	    1	TRUE
I	  42155	+	    8	TRUE
I	  42158	+	    2	TRUE
I	  42161	+	    3	TRUE
I	  42167	+	    4	TRUE
I	  42185	+	    2	TRUE
I	  42198	+	    1	TRUE
I	  42203	+	    1	TRUE
I	  43244	+	    6	TRUE
I	  43295	+	    1	TRUE
I	  43448	+	    1	TRUE
I	  43463	+	    1	TRUE
I	  43469	+	    4	TRUE
I	  43505	+	    2	TRUE
I	  43539	+	    3	TRUE
I	  43802	+	    2	TRUE
I	  45769	+	    4	TRUE
I	  45810	+	    1	TRUE
I	  45874	+	    1	TRUE
I	  46526	+	    1	TRUE
I	  46595	+	    4	TRUE
I	  47759	+	    1	TRUE
I	  48479	+	    3	TRUE
I	  48508	+	    1	TRUE
I	  48534	+	    2	TRUE
I	  48550	+	    2	TRUE
I	  48555	+	   16	TRUE
I	  48564	+	    1	TRUE
I	  48566	+	    6	TRUE
I	  56972	+	    4	TRUE
I	  57462	+	    2	TRUE
I	  57484	+	   22	TRUE
I	  57493	+	    8	TRUE
I	  57497	+	    4	TRUE
I	  57500	+	    2	TRUE
I	  57502	+	    1	TRUE
I	  57504	+	    2	TRUE
I	  57506	+	   32	TRUE
I	  57510	+	    3	TRUE
I	  57511	+	    6	TRUE
I	  57513	+	    2	TRUE
I	  57517	+	   26	TRUE
I	  57520	+	    1	TRUE
I	  57524	+	    2	TRUE
I	  57526	+	    4	TRUE
I	  57535	+	    2	TRUE
I	  60254	+	    1	TRUE
I	  61267	+	    9	TRUE
I	  61269	+	  129	TRUE
I	  61274	+	   38	TRUE
I	  61275	+	    6	TRUE
I	  61279	+	    9	TRUE
I	  61282	+	   11	TRUE
I	  61287	+	   10	TRUE
I	  61290	+	   29	TRUE
I	  61294	+	   18	TRUE
I	  61296	+	    8	TRUE
I	  61300	+	  137	TRUE
I	  61301	+	    8	TRUE
I	  61304	+	   40	TRUE
I	  61506	+	    1	TRUE
I	  61528	+	    1	TRUE
I	  61545	+	    3	TRUE
I	  61579	+	    3	TRUE
I	  61619	+	    1	TRUE
I	  61661	+	    3	TRUE
I	  61688	+	    1	TRUE
I	  61737	+	    2	TRUE
I	  61757	+	    1	TRUE
I	  61827	+	    1	TRUE
I	  61862	+	    1	TRUE
I	  61874	+	    1	TRUE
I	  61932	+	    3	TRUE
I	  61943	+	    2	TRUE
I	  62059	+	    2	TRUE
I	  62086	+	    2	TRUE
I	  62093	+	    4	TRUE
I	  62173	+	    3	TRUE
I	  62185	+	    1	TRUE
I	  62194	+	    4	TRUE
I	  62233	+	    1	TRUE
I	  62325	+	    1	TRUE
I	  62331	+	    1	TRUE
I	  62748	+	    5	TRUE
I	  62773	+	   19	TRUE
I	  62776	+	    9	TRUE
I	  62795	+	    2	TRUE
I	  62799	+	    5	TRUE
I	  62800	+	    1	TRUE
I	  62805	+	    2	TRUE
I	  62832	+	    1	TRUE
I	  62981	+	    4	TRUE
I	  64236	+	    2	TRUE
I	  64602	+	    1	TRUE
I	  66118	+	    9	TRUE
I	  68700	+	    2	TRUE
I	  68984	+	    2	TRUE
I	  69947	+	    1	TRUE
I	  71649	+	    3	TRUE
I	  71670	+	    1	TRUE
I	  71696	+	   19	TRUE
I	  71703	+	    1	TRUE
I	  71711	+	   16	TRUE
I	  71715	+	    1	TRUE
I	  71717	+	    2	TRUE
I	  71729	+	   14	TRUE
I	  71734	+	   11	TRUE
I	  71751	+	    3	TRUE
I	  71752	+	    6	TRUE
I	  71753	+	  651	TRUE
I	  71756	+	 5950	TRUE
I	  71757	+	   18	TRUE
I	  71758	+	   27	TRUE
I	  71759	+	 7148	TRUE
I	  71760	+	   52	TRUE
I	  71761	+	    3	TRUE
I	  71762	+	    7	TRUE
I	  71763	+	   12	TRUE
I	  71764	+	    5	TRUE
I	  71765	+	    4	TRUE
I	  71768	+	   41	TRUE
I	  71776	+	    2	TRUE
I	  71777	+	  301	TRUE
I	  71782	+	    1	TRUE
I	  71785	+	    5	TRUE
I	  71788	+	    2	TRUE
I	  71790	+	    4	TRUE
I	  71792	+	    2	TRUE
I	  71800	+	    2	TRUE
I	  71806	+	   12	TRUE
I	  71819	+	    6	TRUE
I	  71835	+	    2	TRUE
I	  71838	+	    1	TRUE
I	  71839	+	    2	TRUE
I	  71841	+	    1	TRUE
I	  71848	+	    7	TRUE
I	  71867	+	    2	TRUE
I	  71875	+	    3	TRUE
I	  71881	+	    7	TRUE
I	  71896	+	    7	TRUE
I	  71900	+	    3	TRUE
I	  71911	+	    1	TRUE
I	  71913	+	    3	TRUE
I	  71920	+	    6	TRUE
I	  71927	+	    2	TRUE
I	  71931	+	    3	TRUE
I	  71938	+	    1	TRUE
I	  71949	+	    9	TRUE
I	  71951	+	    1	TRUE
I	  71965	+	   11	TRUE
I	  71992	+	    3	TRUE
I	  71996	+	    2	TRUE
I	  71999	+	    5	TRUE
I	  72004	+	    5	TRUE
I	  72011	+	    5	TRUE
I	  72012	+	    3	TRUE
I	  72015	+	    5	TRUE
I	  72018	+	    1	TRUE
I	  72022	+	   10	TRUE
I	  72023	+	    6	TRUE
I	  72034	+	    6	TRUE
I	  72035	+	    9	TRUE
I	  72042	+	    1	TRUE
I	  72043	+	   20	TRUE
I	  72044	+	    7	TRUE
I	  72045	+	    2	TRUE
I	  72046	+	    1	TRUE
I	  72047	+	    1	TRUE
I	  72050	+	    3	TRUE
I	  72052	+	    1	TRUE
I	  72057	+	    6	TRUE
I	  72073	+	    1	TRUE
I	  72077	+	    5	TRUE
I	  72096	+	    3	TRUE
I	  72103	+	    3	TRUE
I	  72112	+	   12	TRUE
I	  72118	+	    4	TRUE
I	  72121	+	   10	TRUE
I	  72130	+	    1	TRUE
I	  72133	+	    4	TRUE
I	  72141	+	    1	TRUE
I	  72142	+	    2	TRUE
I	  72151	+	    4	TRUE
I	  72152	+	    2	TRUE
I	  72160	+	    6	TRUE
I	  72167	+	   10	TRUE
I	  72168	+	    3	TRUE
I	  72179	+	    5	TRUE
