seq	TSS	strand	nTAGs	isreal
I	   6556	+	  1	TRUE
I	   7114	+	  1	TRUE
I	   7155	+	  1	TRUE
I	   8087	+	  2	TRUE
I	  11313	+	  1	TRUE
I	  11329	+	  2	TRUE
I	  16975	+	  1	TRUE
I	  18006	+	  1	TRUE
I	  18035	+	  1	TRUE
I	  18072	+	  1	TRUE
I	  23351	+	  1	TRUE
I	  23950	+	  1	TRUE
I	  24633	+	  1	TRUE
I	  24819	+	  1	TRUE
I	  24831	+	  1	TRUE
I	  24838	+	  5	TRUE
I	  24850	+	  1	TRUE
I	  24988	+	  1	TRUE
I	  30115	+	  1	TRUE
I	  30118	+	  1	TRUE
I	  31056	+	  7	TRUE
I	  31087	+	  1	TRUE
I	  31094	+	  2	TRUE
I	  31102	+	  2	TRUE
I	  31105	+	  1	TRUE
I	  31108	+	 12	TRUE
I	  31111	+	  3	TRUE
I	  31117	+	 16	TRUE
I	  31119	+	 13	TRUE
I	  31121	+	  1	TRUE
I	  31123	+	  5	TRUE
I	  31125	+	  3	TRUE
I	  31127	+	  1	TRUE
I	  31141	+	  2	TRUE
I	  31143	+	  1	TRUE
I	  31145	+	  8	TRUE
I	  31151	+	  5	TRUE
I	  31166	+	  1	TRUE
I	  31185	+	  1	TRUE
I	  31188	+	 33	TRUE
I	  31190	+	  3	TRUE
I	  31193	+	  3	TRUE
I	  31209	+	  1	TRUE
I	  31212	+	  1	TRUE
I	  31219	+	  1	TRUE
I	  31221	+	  2	TRUE
I	  31225	+	 19	TRUE
I	  31229	+	 25	TRUE
I	  31232	+	  3	TRUE
I	  31233	+	  2	TRUE
I	  31234	+	 45	TRUE
I	  31235	+	  1	TRUE
I	  31242	+	 62	TRUE
I	  31245	+	  1	TRUE
I	  31255	+	  1	TRUE
I	  31258	+	  4	TRUE
I	  31260	+	 11	TRUE
I	  31263	+	  8	TRUE
I	  31265	+	  2	TRUE
I	  31307	+	  4	TRUE
I	  31317	+	  4	TRUE
I	  31340	+	  1	TRUE
I	  31343	+	  4	TRUE
I	  31346	+	  1	TRUE
I	  31351	+	  1	TRUE
I	  31353	+	  1	TRUE
I	  31354	+	  2	TRUE
I	  31356	+	  1	TRUE
I	  31364	+	  7	TRUE
I	  31367	+	  8	TRUE
I	  31521	+	  1	TRUE
I	  31529	+	  1	TRUE
I	  31681	+	  1	TRUE
I	  31732	+	  1	TRUE
I	  33181	+	  1	TRUE
I	  33345	+	  1	TRUE
I	  33359	+	 17	TRUE
I	  33362	+	  1	TRUE
I	  33660	+	  1	TRUE
I	  33691	+	  1	TRUE
I	  33849	+	  1	TRUE
I	  33850	+	  1	TRUE
I	  33972	+	  1	TRUE
I	  33976	+	  1	TRUE
I	  33978	+	  1	TRUE
I	  34003	+	  2	TRUE
I	  34023	+	  1	TRUE
I	  34051	+	  1	TRUE
I	  34056	+	  1	TRUE
I	  34122	+	  1	TRUE
I	  34199	+	  1	TRUE
I	  34203	+	  1	TRUE
I	  34255	+	  1	TRUE
I	  34303	+	  1	TRUE
I	  34475	+	  1	TRUE
I	  34599	+	  1	TRUE
I	  34678	+	  1	TRUE
I	  34796	+	  1	TRUE
I	  34849	+	  1	TRUE
I	  35057	+	  5	TRUE
I	  35068	+	  3	TRUE
I	  35099	+	  1	TRUE
I	  35103	+	  3	TRUE
I	  35107	+	  5	TRUE
I	  35185	+	  1	TRUE
I	  35212	+	  1	TRUE
I	  36511	+	  1	TRUE
I	  36513	+	  3	TRUE
I	  36522	+	  2	TRUE
I	  36525	+	 14	TRUE
I	  36547	+	  1	TRUE
I	  36553	+	  1	TRUE
I	  36556	+	  2	TRUE
I	  36559	+	  2	TRUE
I	  36567	+	  5	TRUE
I	  36571	+	  3	TRUE
I	  36576	+	  1	TRUE
I	  36581	+	  1	TRUE
I	  36583	+	  1	TRUE
I	  36722	+	  1	TRUE
I	  37318	+	  1	TRUE
I	  37378	+	  1	TRUE
I	  37380	+	  1	TRUE
I	  37392	+	  3	TRUE
I	  37403	+	  1	TRUE
I	  37415	+	  2	TRUE
I	  39196	+	  1	TRUE
I	  39200	+	  1	TRUE
I	  39205	+	  3	TRUE
I	  39208	+	  1	TRUE
I	  39215	+	  5	TRUE
I	  39217	+	  3	TRUE
I	  39229	+	  1	TRUE
I	  39234	+	  2	TRUE
I	  39237	+	  1	TRUE
I	  39240	+	  1	TRUE
I	  39250	+	  1	TRUE
I	  42119	+	  1	TRUE
I	  42134	+	  4	TRUE
I	  42137	+	  2	TRUE
I	  42142	+	  2	TRUE
I	  42148	+	  4	TRUE
I	  42155	+	 23	TRUE
I	  42156	+	  1	TRUE
I	  42158	+	  7	TRUE
I	  42161	+	  3	TRUE
I	  42164	+	  5	TRUE
I	  42166	+	  1	TRUE
I	  42167	+	  7	TRUE
I	  42170	+	  2	TRUE
I	  42172	+	  1	TRUE
I	  42177	+	  7	TRUE
I	  42179	+	  2	TRUE
I	  42182	+	  6	TRUE
I	  42185	+	  5	TRUE
I	  42188	+	  4	TRUE
I	  42191	+	  1	TRUE
I	  42203	+	  5	TRUE
I	  42212	+	  2	TRUE
I	  42221	+	  1	TRUE
I	  43130	+	  1	TRUE
I	  45748	+	  1	TRUE
I	  45755	+	  1	TRUE
I	  45759	+	  1	TRUE
I	  45761	+	  1	TRUE
I	  45764	+	  1	TRUE
I	  45766	+	  1	TRUE
I	  45769	+	  1	TRUE
I	  45800	+	  1	TRUE
I	  45810	+	  3	TRUE
I	  45820	+	  1	TRUE
I	  45823	+	  1	TRUE
I	  45839	+	  1	TRUE
I	  45874	+	  1	TRUE
I	  45877	+	  3	TRUE
I	  45914	+	  1	TRUE
I	  45974	+	  1	TRUE
I	  46115	+	  1	TRUE
I	  46789	+	  1	TRUE
I	  48474	+	  1	TRUE
I	  48493	+	  2	TRUE
I	  48497	+	  1	TRUE
I	  48508	+	  2	TRUE
I	  48511	+	  3	TRUE
I	  48532	+	  1	TRUE
I	  48550	+	  5	TRUE
I	  48555	+	  9	TRUE
I	  48559	+	  1	TRUE
I	  48564	+	  3	TRUE
I	  48566	+	  3	TRUE
I	  48579	+	  2	TRUE
I	  54214	+	  1	TRUE
I	  54217	+	  1	TRUE
I	  56474	+	  1	TRUE
I	  56527	+	  1	TRUE
I	  56561	+	  1	TRUE
I	  56582	+	  1	TRUE
I	  57475	+	  1	TRUE
I	  57479	+	  1	TRUE
I	  57481	+	  2	TRUE
I	  57484	+	  2	TRUE
I	  57493	+	  2	TRUE
I	  57506	+	  2	TRUE
I	  57509	+	  1	TRUE
I	  57510	+	  1	TRUE
I	  57511	+	  2	TRUE
I	  57517	+	  6	TRUE
I	  57520	+	  1	TRUE
I	  57524	+	  3	TRUE
I	  57526	+	  1	TRUE
I	  57532	+	  2	TRUE
I	  57535	+	  1	TRUE
I	  57582	+	  1	TRUE
I	  57775	+	  1	TRUE
I	  61269	+	  2	TRUE
I	  61272	+	  1	TRUE
I	  61275	+	  1	TRUE
I	  61279	+	  2	TRUE
I	  61282	+	  1	TRUE
I	  61285	+	  1	TRUE
I	  61287	+	  7	TRUE
I	  61290	+	  6	TRUE
I	  61294	+	  5	TRUE
I	  61300	+	 28	TRUE
I	  61304	+	  5	TRUE
I	  61309	+	  1	TRUE
I	  61316	+	  2	TRUE
I	  61468	+	  1	TRUE
I	  61489	+	  2	TRUE
I	  61503	+	  1	TRUE
I	  61506	+	  1	TRUE
I	  61528	+	  1	TRUE
I	  61537	+	  2	TRUE
I	  61661	+	  1	TRUE
I	  61721	+	  1	TRUE
I	  61765	+	  1	TRUE
I	  61871	+	  1	TRUE
I	  61891	+	  1	TRUE
I	  61960	+	  1	TRUE
I	  61961	+	  1	TRUE
I	  62004	+	  1	TRUE
I	  62011	+	  1	TRUE
I	  62015	+	  1	TRUE
I	  62025	+	  1	TRUE
