seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
1	   207049	   207049	+	 1	   3	1.00	  1	  0.00	 2.00	1.00	NA
1	   629128	   629129	+	 2	  10	0.70	  2	 -0.20	 1.12	0.12	NA
1	   629651	   629651	+	 1	   5	1.00	  1	  0.00	 2.00	1.00	NA
1	   632518	   632518	+	 1	   3	1.00	  1	  0.00	 2.00	1.00	NA
1	   634007	   634026	+	 5	  78	0.44	 20	  6.45	 0.12	0.19	NA
1	   634433	   634433	+	 1	   3	1.00	  1	  0.00	 2.00	1.00	NA
1	   851926	   851926	+	 1	   3	1.00	  1	  0.00	 2.00	1.00	NA
1	  1059700	  1059730	+	 2	   7	0.57	 31	  2.14	 1.01	0.01	NA
1	  1288088	  1288088	+	 1	   5	1.00	  1	  0.00	 2.00	1.00	NA
1	  1399564	  1399573	+	 3	  10	0.40	 10	 -0.90	 0.43	0.01	NA
1	  1512220	  1512220	+	 1	   4	1.00	  1	  0.00	 2.00	1.00	transcript:ENST00000536055
1	  2309591	  2309592	+	 2	  10	0.70	  2	  0.20	 1.12	0.12	NA
1	  2391805	  2391842	+	 5	  22	0.27	 38	 -1.82	-0.27	0.02	transcript:ENST00000378512
1	  3652555	  3652555	+	 1	   3	1.00	  1	  0.00	 2.00	1.00	transcript:ENST00000346387
1	  3772769	  3772787	+	 6	  37	0.51	 19	 -4.30	-0.11	0.18	transcript:ENST00000452264
1	  3976139	  3976143	+	 2	   7	0.57	  5	 -0.29	 1.01	0.01	NA
1	  4007279	  4007279	+	 1	   7	1.00	  1	  0.00	 2.00	1.00	NA
1	  5992676	  5992692	+	 2	   6	0.50	 17	  0.00	 1.00	0.00	transcript:ENST00000462676
1	  6785454	  6785493	+	 5	  43	0.37	 40	 -7.55	-0.02	0.13	transcript:ENST00000461311
1	  7827405	  7827405	+	 1	   3	1.00	  1	  0.00	 2.00	1.00	NA
1	  7961655	  7961723	+	16	  93	0.15	 69	 -5.09	-1.78	0.06	transcript:ENST00000377488
1	  8750409	  8750409	+	 1	   5	1.00	  1	  0.00	 2.00	1.00	NA
1	  9651731	  9651731	+	 1	   3	1.00	  1	  0.00	 2.00	1.00	transcript:ENST00000628140
1	  9943488	  9943488	+	 1	  17	1.00	  1	  0.00	 2.00	1.00	transcript:ENST00000377205
1	 10032958	 10032961	+	 4	  30	0.43	  4	 -0.47	 0.23	0.11	transcript:ENST00000377153
1	 10210570	 10210570	+	 1	   3	1.00	  1	  0.00	 2.00	1.00	transcript:ENST00000263934
1	 10298966	 10298966	+	 1	   4	1.00	  1	  0.00	 2.00	1.00	NA
1	 10399018	 10399076	+	10	  72	0.47	 59	  8.37	-0.64	0.20	transcript:ENST00000460189
1	 10413190	 10413190	+	 1	   3	1.00	  1	  0.00	 2.00	1.00	NA
1	 10417485	 10417491	+	 2	   7	0.57	  7	  0.43	 1.01	0.01	NA
1	 10419430	 10419444	+	 2	   6	0.50	 15	  0.00	 1.00	0.00	NA
1	 10419501	 10419502	+	 2	  10	0.70	  2	 -0.20	 1.12	0.12	NA
1	 10430413	 10430472	+	11	  85	0.31	 60	 -4.28	-1.10	0.10	transcript:ENST00000462462
1	 10474946	 10474961	+	 2	  10	0.70	 16	 -3.00	 1.12	0.12	transcript:ENST00000491661
1	 11012648	 11012672	+	 9	  83	0.29	 25	 -1.41	-0.85	0.10	transcript:ENST00000614757
1	 11806191	 11806246	+	 6	  20	0.20	 56	  3.45	-0.57	0.01	transcript:ENST00000376496
1	 11908152	 11908152	+	 1	   7	1.00	  1	  0.00	 2.00	1.00	NA
1	 11934714	 11934714	+	 1	   3	1.00	  1	  0.00	 2.00	1.00	transcript:ENST00000429000
1	 11980428	 11980449	+	 8	  70	0.34	 22	  4.30	-0.68	0.11	transcript:ENST00000235329
1	 12019501	 12019501	+	 1	   4	1.00	  1	  0.00	 2.00	1.00	transcript:ENST00000235332
1	 12230030	 12230089	+	 9	  57	0.19	 60	-11.89	-0.98	0.06	transcript:ENST00000613099
1	 13749381	 13749438	+	 8	  90	0.34	 58	  7.03	-0.64	0.12	transcript:ENST00000505823
1	 15236516	 15236521	+	 2	   6	0.50	  6	  0.00	 1.00	0.00	NA
1	 15409895	 15409895	+	 1	   4	1.00	  1	  0.00	 2.00	1.00	transcript:ENST00000445566
1	 15526854	 15526908	+	 8	  35	0.23	 55	 -6.94	-0.91	0.03	transcript:ENST00000375847
1	 15847814	 15847836	+	 3	   9	0.33	 23	 -3.00	 0.42	0.00	transcript:ENST00000375759
1	 16367212	 16367243	+	11	  78	0.24	 32	  5.41	-1.14	0.09	transcript:ENST00000492354
1	 16440713	 16440752	+	 4	  31	0.52	 40	  7.98	 0.23	0.12	transcript:ENST00000513161
1	 16905199	 16905199	+	 1	  10	1.00	  1	  0.00	 2.00	1.00	NA
1	 19210395	 19210395	+	 1	  13	1.00	  1	  0.00	 2.00	1.00	NA
1	 19210495	 19210519	+	 6	  25	0.24	 25	 -2.72	-0.54	0.02	NA
1	 19251594	 19251618	+	 2	   6	0.50	 25	  0.00	 1.00	0.00	transcript:ENST00000330263
1	 19251779	 19251835	+	10	  60	0.18	 57	  0.53	-1.21	0.03	transcript:ENST00000330263
1	 19596979	 19597052	+	22	 184	0.17	 74	 -4.93	-2.07	0.09	transcript:ENST00000602450
1	 20186099	 20186125	+	 3	  13	0.46	 27	 -3.92	 0.47	0.04	transcript:ENST00000375099
1	 21908057	 21908057	+	 1	  18	1.00	  1	  0.00	 2.00	1.00	NA
1	 22025515	 22025515	+	 1	   3	1.00	  1	  0.00	 2.00	1.00	transcript:ENST00000648594
1	 22052671	 22052731	+	11	  98	0.34	 61	 13.70	-0.99	0.14	transcript:ENST00000662562
1	 22451854	 22451858	+	 2	   9	0.56	  5	  0.22	 1.01	0.01	transcript:ENST00000400239
1	 23368989	 23368989	+	 1	   3	1.00	  1	  0.00	 2.00	1.00	NA
