seq	TSS	strand	nTAGs	isreal
I	  12838	+	   1	TRUE
I	  24010	+	   1	TRUE
I	  24025	+	   2	TRUE
I	  24778	+	   1	TRUE
I	  24834	+	   2	TRUE
I	  24909	+	   1	TRUE
I	  24949	+	   1	TRUE
I	  31225	+	   1	TRUE
I	  31242	+	   1	TRUE
I	  31263	+	   1	TRUE
I	  31713	+	   2	TRUE
I	  31808	+	   2	TRUE
I	  32118	+	   1	TRUE
I	  33359	+	   1	TRUE
I	  35185	+	   3	TRUE
I	  35923	+	   1	TRUE
I	  36078	+	   1	TRUE
I	  36525	+	  12	TRUE
I	  36526	+	   1	TRUE
I	  36559	+	   1	TRUE
I	  36564	+	   1	TRUE
I	  36567	+	   7	TRUE
I	  36583	+	   2	TRUE
I	  36649	+	   2	TRUE
I	  37378	+	   1	TRUE
I	  37382	+	   2	TRUE
I	  37392	+	   1	TRUE
I	  37610	+	   3	TRUE
I	  39237	+	   1	TRUE
I	  40807	+	   2	TRUE
I	  42148	+	   1	TRUE
I	  42161	+	   3	TRUE
I	  43782	+	   7	TRUE
I	  43991	+	   1	TRUE
I	  46181	+	   2	TRUE
I	  47741	+	   2	TRUE
I	  48511	+	   3	TRUE
I	  50634	+	   1	TRUE
I	  52505	+	   1	TRUE
I	  57484	+	   1	TRUE
I	  57485	+	   1	TRUE
I	  57497	+	   3	TRUE
I	  57504	+	   2	TRUE
I	  57506	+	   4	TRUE
I	  57510	+	   4	TRUE
I	  57517	+	   2	TRUE
I	  57598	+	   1	TRUE
I	  58899	+	   1	TRUE
I	  61269	+	  19	TRUE
I	  61274	+	   3	TRUE
I	  61294	+	   8	TRUE
I	  61300	+	   7	TRUE
I	  61304	+	   3	TRUE
I	  61313	+	   3	TRUE
I	  61315	+	   1	TRUE
I	  61393	+	   2	TRUE
I	  61400	+	   6	TRUE
I	  61476	+	   1	TRUE
I	  61579	+	   1	TRUE
I	  61619	+	   1	TRUE
I	  61627	+	   1	TRUE
