"seqnames"	"start"	"end"	"width"	"strand"	"rep1_overlap"	"rep2_overlap"	"rep3_overlap"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"SYMBOL"	"GENENAME"
"1"	207049	207049	1	"+"	TRUE	TRUE	FALSE	"Distal Intergenic"	1	185217	195411	10195	2	"ENSG00000279457"	"ENST00000623083"	-11638	NA	NA	NA
"1"	2309591	2309592	2	"+"	TRUE	FALSE	TRUE	"3' UTR"	1	2315040	2321323	6284	1	"ENSG00000287356"	"ENST00000659232"	-5448	NA	NA	NA
"1"	6760928	6760928	1	"+"	FALSE	TRUE	TRUE	"Distal Intergenic"	1	6767954	6770038	2085	1	"ENSG00000284744"	"ENST00000641757"	-7026	NA	NA	NA
"1"	15236516	15236525	10	"+"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	15226373	15227549	1177	1	"ENSG00000278480"	"ENST00000612442"	10143	NA	NA	NA
"1"	16727279	16727279	1	"+"	FALSE	TRUE	TRUE	"Distal Intergenic"	1	16692280	16720157	27878	2	"ENSG00000268869"	"ENST00000270691"	-7122	NA	NA	NA
"1"	26941597	26941598	2	"+"	TRUE	TRUE	FALSE	"Exon (ENST00000435827/ENSG00000090273, exon 5 of 7)"	1	26945135	26946184	1050	1	"ENSG00000090273"	"ENST00000484772"	-3537	"10726"	"NUDC"	"nuclear distribution C, dynein complex regulator"
"1"	30778682	30778685	4	"+"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	30732469	30757774	25306	2	"ENSG00000162511"	"ENST00000294507"	-20908	"7805"	"LAPTM5"	"lysosomal protein transmembrane 5"
"1"	32190071	32190071	1	"+"	TRUE	FALSE	TRUE	"Exon (ENST00000373610/ENSG00000084652, exon 6 of 11)"	1	32180065	32198285	18221	1	"ENSG00000084652"	"ENST00000373609"	10006	"200081"	"TXLNA"	"taxilin alpha"
"1"	32672682	32672682	1	"+"	TRUE	TRUE	FALSE	"3' UTR"	1	32669256	32680651	11396	1	"ENSG00000162521"	"ENST00000482190"	3426	"5928"	"RBBP4"	"RB binding protein 4, chromatin remodeling factor"
"1"	37519042	37519042	1	"+"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	37493178	37514774	21597	2	"ENSG00000163875"	"ENST00000296214"	-4268	"64769"	"MEAF6"	"MYST/Esa1 associated factor 6"
"1"	40383828	40383828	1	"+"	TRUE	TRUE	TRUE	"Intron (ENST00000435168/ENSG00000084070, intron 2 of 6)"	1	40374648	40423326	48679	1	"ENSG00000084070"	"ENST00000372708"	9180	"64744"	"SMAP2"	"small ArfGAP2"
