seq	TSS	strand	nTAGs	isreal
I	   9368	+	  1	TRUE
I	  11318	+	  1	TRUE
I	  11343	+	  1	TRUE
I	  12709	+	  1	TRUE
I	  18006	+	  1	TRUE
I	  18031	+	  3	TRUE
I	  18038	+	  2	TRUE
I	  18102	+	  1	TRUE
I	  23971	+	  1	TRUE
I	  23990	+	  2	TRUE
I	  24207	+	  1	TRUE
I	  24450	+	  1	TRUE
I	  24637	+	  1	TRUE
I	  24838	+	  6	TRUE
I	  24846	+	  1	TRUE
I	  24949	+	  1	TRUE
I	  24981	+	  1	TRUE
I	  25003	+	  1	TRUE
I	  25051	+	  1	TRUE
I	  30020	+	  1	TRUE
I	  30048	+	  1	TRUE
I	  30060	+	  2	TRUE
I	  30466	+	  1	TRUE
I	  31056	+	  2	TRUE
I	  31087	+	  1	TRUE
I	  31090	+	  1	TRUE
I	  31102	+	  1	TRUE
I	  31108	+	 15	TRUE
I	  31111	+	  2	TRUE
I	  31117	+	 11	TRUE
I	  31119	+	 12	TRUE
I	  31123	+	  5	TRUE
I	  31127	+	  1	TRUE
I	  31143	+	  1	TRUE
I	  31145	+	  3	TRUE
I	  31147	+	  1	TRUE
I	  31151	+	  3	TRUE
I	  31185	+	  1	TRUE
I	  31188	+	 12	TRUE
I	  31190	+	  2	TRUE
I	  31193	+	  2	TRUE
I	  31212	+	  1	TRUE
I	  31217	+	  2	TRUE
I	  31221	+	  1	TRUE
I	  31225	+	 11	TRUE
I	  31229	+	  7	TRUE
I	  31232	+	  2	TRUE
I	  31234	+	 20	TRUE
I	  31242	+	 32	TRUE
I	  31245	+	  2	TRUE
I	  31258	+	  1	TRUE
I	  31260	+	  3	TRUE
I	  31269	+	  3	TRUE
I	  31334	+	  1	TRUE
I	  31353	+	  1	TRUE
I	  31364	+	  3	TRUE
I	  31367	+	  1	TRUE
I	  31726	+	  1	TRUE
I	  31757	+	  1	TRUE
I	  31869	+	  1	TRUE
I	  32679	+	  1	TRUE
I	  32787	+	  1	TRUE
I	  33181	+	  1	TRUE
I	  33345	+	  2	TRUE
I	  33348	+	  2	TRUE
I	  33351	+	  1	TRUE
I	  33359	+	 24	TRUE
I	  33362	+	  2	TRUE
I	  33693	+	  1	TRUE
I	  33753	+	  1	TRUE
I	  33760	+	  2	TRUE
I	  33774	+	  1	TRUE
I	  33849	+	  2	TRUE
I	  33850	+	  1	TRUE
I	  33872	+	  1	TRUE
I	  33874	+	  1	TRUE
I	  33906	+	  1	TRUE
I	  33907	+	  1	TRUE
I	  33964	+	  1	TRUE
I	  33978	+	  1	TRUE
I	  34003	+	  1	TRUE
I	  34015	+	  1	TRUE
I	  34056	+	  1	TRUE
I	  34107	+	  1	TRUE
I	  34154	+	  1	TRUE
I	  34222	+	  1	TRUE
I	  34246	+	  1	TRUE
I	  34256	+	  1	TRUE
I	  34276	+	  2	TRUE
I	  34309	+	  2	TRUE
I	  34385	+	  1	TRUE
I	  34425	+	  1	TRUE
I	  34451	+	  1	TRUE
I	  34485	+	  1	TRUE
I	  34545	+	  1	TRUE
I	  34583	+	  1	TRUE
I	  34652	+	  1	TRUE
I	  34678	+	  1	TRUE
I	  34785	+	  1	TRUE
I	  34820	+	  1	TRUE
I	  35002	+	  1	TRUE
I	  35015	+	  1	TRUE
I	  35021	+	  1	TRUE
I	  35043	+	  1	TRUE
I	  35057	+	  6	TRUE
I	  35065	+	  3	TRUE
I	  35068	+	  3	TRUE
I	  35094	+	  1	TRUE
I	  35097	+	  2	TRUE
I	  35103	+	  5	TRUE
I	  35107	+	 12	TRUE
I	  35129	+	  1	TRUE
I	  35130	+	  1	TRUE
