#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
chr6	43971362	43971415	._r173	0.0	+	43971362	43971415	0	1	53	43971358	genes
chr4	49514309	49514333	._r130	0.0	-	49514309	49514333	0	1	24	49514305	genes
chr18	3624367	3624368	._r407	0.0	-	3624367	3624368	0	1	1	3624364	genes
chr4	10185784	10185842	._r127	0.0	-	10185784	10185842	0	1	58	10185783	genes
chr6	34244838	34244911	._r166	0.0	+	34244838	34244911	0	1	73	34244835	genes
chr11	36105581	36105611	._r283	0.0	+	36105581	36105611	0	1	30	36105578	genes
chr1	244367127	244367128	._r19	0.0	+	244367127	244367128	0	1	1	244367125	genes
chr3	9786238	9786239	._r109	0.0	-	9786238	9786239	0	1	1	9786229	genes
chr16	29009326	29009367	._r369	0.0	-	29009326	29009367	0	1	41	29009324	genes
chr6	34245248	34245250	._r167	0.0	+	34245248	34245250	0	1	2	34245245	genes
chr1	223789072	223789101	._r61	0.0	-	223789072	223789101	0	1	29	223789070	genes
chrX	53256178	53256179	._r491	0.0	+	53256178	53256179	0	1	1	53256173	genes
chr1	167617820	167617826	._r53	0.0	-	167617820	167617826	0	1	6	167617819	genes
chr15	27088256	27088302	._r348	0.0	+	27088256	27088302	0	1	46	27088254	genes
chr9	98833461	98833462	._r250	0.0	+	98833461	98833462	0	1	1	98833452	genes
chrX	53255894	53255895	._r504	0.0	-	53255894	53255895	0	1	1	53255889	genes
chr16	3007188	3007253	._r362	0.0	-	3007188	3007253	0	1	65	3007185	genes
chr2	169665059	169665086	._r86	0.0	-	169665059	169665086	0	1	27	169665058	genes
chr1	30778681	30778685	._r1	0.0	+	30778681	30778685	0	1	4	30778678	genes
chr10	100371444	100371481	._r271	0.0	+	100371444	100371481	0	1	37	100371443	genes
chr3	14252855	14252954	._r110	0.0	-	14252855	14252954	0	1	99	14252854	genes
chr6	34245399	34245401	._r168	0.0	+	34245399	34245401	0	1	2	34245396	genes
chr10	5480553	5480591	._r273	0.0	-	5480553	5480591	0	1	38	5480548	genes
chr1	234869632	234869689	._r63	0.0	-	234869632	234869689	0	1	57	234869630	genes
chr5	54738207	54738228	._r153	0.0	-	54738207	54738228	0	1	21	54738202	genes
chr3	128495729	128495747	._r105	0.0	+	128495729	128495747	0	1	18	128495728	genes
chr17	42311440	42311442	._r382	0.0	+	42311440	42311442	0	1	2	42311436	genes
chr17	48631230	48631231	._r400	0.0	-	48631230	48631231	0	1	1	48631226	genes
chr1	150977178	150977181	._r44	0.0	-	150977178	150977181	0	1	3	150977177	genes
chrX	103233537	103233559	._r492	0.0	+	103233537	103233559	0	1	22	103233536	genes
chr7	22708412	22708413	._r224	0.0	-	22708412	22708413	0	1	1	22708410	genes
chr6	7202195	7202271	._r188	0.0	-	7202195	7202271	0	1	76	7202188	genes
chr1	40383827	40383828	._r3	0.0	+	40383827	40383828	0	1	1	40383823	genes
chr22	26642408	26642411	._r479	0.0	+	26642408	26642411	0	1	3	26642406	genes
chr2	65819257	65819275	._r80	0.0	-	65819257	65819275	0	1	18	65819251	genes
chr3	14233074	14233099	._r97	0.0	+	14233074	14233099	0	1	25	14233073	genes
chr9	129596036	129596037	._r260	0.0	-	129596036	129596037	0	1	1	129596035	genes
chr12	131228897	131228901	._r319	0.0	+	131228897	131228901	0	1	4	131228896	genes
chr5	95729134	95729135	._r140	0.0	+	95729134	95729135	0	1	1	95729125	genes
chr10	5474759	5474798	._r272	0.0	-	5474759	5474798	0	1	39	5474754	genes
