seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
I	   9359	   9359	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  11329	  11329	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	NA
I	  24828	  24895	+	 11	 158	0.41	 68	 -18.79	-0.62	0.24	NA
I	  24946	  25010	+	  8	  53	0.26	 65	   5.75	-0.79	0.07	NA
I	  31108	  31123	+	  4	  26	0.42	 16	  -1.15	 0.14	0.07	NA
I	  31188	  31260	+	  8	  81	0.26	 73	  -1.33	-0.58	0.14	NA
I	  31343	  31367	+	  2	   7	0.57	 25	   1.71	 1.01	0.01	gene:YAL062W
I	  31517	  31542	+	  6	  43	0.30	 26	  -0.52	-0.41	0.07	gene:YAL062W
I	  31713	  31732	+	  3	  10	0.40	 20	   2.90	 0.43	0.01	NA
I	  31869	  31869	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	NA
I	  33345	  33362	+	  3	  48	0.77	 18	   3.35	 1.03	0.39	gene:YAL061W
I	  33868	  33868	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  33976	  34003	+	  4	  13	0.31	 28	  -3.73	 0.01	0.01	NA
I	  34056	  34056	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  34347	  34347	+	  1	   6	1.00	  1	   0.00	 2.00	1.00	NA
I	  34450	  34450	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  35057	  35107	+	  5	  59	0.47	 51	  11.61	 0.02	0.15	gene:YAL060W
I	  35748	  35748	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  36525	  36567	+	  3	  18	0.44	 43	   0.00	 0.52	0.07	gene:YAL059W
I	  37380	  37415	+	  2	  12	0.75	 36	   8.75	 1.19	0.19	gene:YAL058W
I	  39190	  39237	+	  9	  53	0.23	 48	   3.69	-1.00	0.05	gene:YAL056W
I	  42134	  42212	+	 20	 222	0.16	 79	  -3.13	-2.00	0.08	gene:YAL055W
I	  45742	  45951	+	 25	 202	0.10	210	 -32.38	-2.30	0.07	gene:YAL053W
I	  48493	  48566	+	  9	  74	0.22	 74	  17.27	-0.89	0.09	gene:YAL051W
I	  57484	  57532	+	 10	  69	0.35	 49	   3.49	-0.93	0.12	gene:YAL044W-A
I	  57577	  57577	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	gene:YAL044W-A
I	  61269	  61313	+	  9	  83	0.43	 45	   3.19	-0.61	0.18	gene:YAL042W
I	  61474	  61474	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  61537	  61537	+	  1	   8	1.00	  1	   0.00	 2.00	1.00	NA
I	  61619	  61619	+	  1	   7	1.00	  1	   0.00	 2.00	1.00	NA
I	  62025	  62025	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  62106	  62240	+	 10	  45	0.18	135	  -2.78	-1.24	0.02	NA
I	  62307	  62381	+	  8	  34	0.24	 75	  -7.44	-0.88	0.04	NA
I	  62773	  62808	+	  4	  22	0.36	 36	  -4.91	 0.08	0.04	gene:YAL041W
I	  70438	  70438	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	NA
I	  70893	  70893	+	  1	   5	1.00	  1	   0.00	 2.00	1.00	NA
I	  71670	  71670	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	gene:YAL038W
I	  71711	  71780	+	 13	 355	0.44	 70	   9.21	-0.68	0.28	gene:YAL038W
I	  71924	  71924	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  72457	  72458	+	  2	   8	0.62	  2	   0.12	 1.05	0.05	NA
I	  72521	  72521	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  72568	  72601	+	  4	  15	0.33	 34	  -5.97	 0.03	0.02	NA
I	  72719	  72719	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  72796	  72829	+	  2	   8	0.50	 34	   0.00	 1.00	0.00	NA
I	  76377	  76432	+	 15	 433	0.46	 56	  -6.18	-0.46	0.37	gene:YAL035W
I	  76528	  76528	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  76702	  76729	+	  2	   6	0.50	 28	   0.00	 1.00	0.00	NA
I	  79674	  79700	+	  6	  24	0.29	 27	   1.83	-0.49	0.04	gene:YAL034W-A
I	  82688	  82711	+	  4	  17	0.35	 24	  -2.50	 0.05	0.02	gene:YAL033W
I	  87237	  87279	+	  7	 113	0.52	 43	   3.45	-0.10	0.25	gene:YAL030W
I	  92849	  92849	+	  1	   6	1.00	  1	   0.00	 2.00	1.00	gene:YAL028W
I	  92889	  92889	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	gene:YAL028W
I	  94595	  94655	+	  7	  37	0.24	 61	   8.65	-0.74	0.02	gene:YAL027W
I	  95118	  95123	+	  2	   6	0.50	  6	   0.00	 1.00	0.00	NA
I	 114803	 114809	+	  2	  15	0.53	  7	  -0.20	 1.00	0.00	gene:YAL019W
I	 119843	 119899	+	 13	 156	0.27	 57	  -5.12	-1.23	0.13	NA
I	 119953	 119960	+	  2	  10	0.50	  8	   0.00	 1.00	0.00	NA
I	 120070	 120070	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	gene:YAL017W
I	 120686	 120686	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	 124782	 124818	+	 10	 126	0.21	 37	  -5.50	-0.99	0.10	gene:YAL016W
I	 124874	 124874	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	gene:YAL016W
I	 124968	 124968	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	gene:YAL016W
I	 129200	 129297	+	 35	 963	0.15	 98	 -13.87	-2.34	0.15	gene:YAL013W
I	 129344	 129344	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	gene:YAL013W
I	 129443	 129443	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	 130686	 130779	+	 11	  70	0.26	 94	   1.67	-1.04	0.12	gene:YAL012W
I	 132185	 132191	+	  2	   7	0.57	  7	   0.43	 1.01	0.01	gene:YAL011W
I	 135815	 135854	+	  6	  51	0.57	 40	  -7.95	 0.09	0.26	gene:YAL009W
I	 136700	 136708	+	  3	  11	0.45	  9	   0.91	 0.46	0.03	gene:YAL008W
I	 136835	 136905	+	 11	 146	0.24	 71	  -2.74	-0.90	0.16	gene:YAL008W
I	 137045	 137045	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	 137169	 137169	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	NA
I	 142011	 142054	+	  3	  12	0.42	 44	   2.83	 0.45	0.02	gene:YAL003W
I	 142117	 142153	+	 11	 188	0.29	 37	   8.60	-0.98	0.14	gene:YAL003W
I	 142195	 142195	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	gene:YAL003W
I	 142711	 142713	+	  2	   6	0.50	  3	   0.00	 1.00	0.00	NA
I	 142774	 142813	+	  3	   9	0.33	 40	   1.17	 0.42	0.00	NA
I	 142869	 142936	+	  4	  13	0.31	 68	   2.96	 0.01	0.01	NA
I	 143548	 143572	+	  3	  10	0.40	 25	  -1.20	 0.43	0.01	gene:YAL002W
I	 143616	 143616	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	gene:YAL002W
I	 152215	 152228	+	  2	  37	0.81	 14	  -4.04	 1.30	0.30	gene:YAR002W
I	 158847	 158897	+	  4	  25	0.36	 51	  -2.88	 0.05	0.02	gene:YAR008W
I	 169234	 169315	+	 10	  73	0.25	 82	  -3.98	-0.93	0.12	gene:YAR015W
I	 175298	 175314	+	  2	   8	0.62	 17	  -2.00	 1.05	0.05	NA
I	 183688	 183719	+	  4	  15	0.33	 32	  -0.97	 0.03	0.02	gene:YAR027W
I	 187523	 187523	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	NA
I	 188055	 188061	+	  2	   6	0.50	  7	   0.00	 1.00	0.00	gene:YAR033W
I	 189666	 189666	+	  1	  10	1.00	  1	   0.00	 2.00	1.00	NA
I	 190145	 190217	+	 11	  89	0.26	 73	 -15.65	-1.12	0.10	gene:YAR035W
I	 191926	 191926	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	NA
I	 192549	 192619	+	  9	  67	0.31	 71	   1.67	-0.82	0.11	gene:YAR042W
I	 195689	 195689	+	  1	   5	1.00	  1	   0.00	 2.00	1.00	NA
I	 195811	 195828	+	  2	   8	0.62	 18	  -2.12	 1.05	0.05	NA
I	 195945	 195945	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	 199098	 199098	+	  1	   5	1.00	  1	   0.00	 2.00	1.00	NA
I	 199240	 199261	+	  2	   7	0.57	 22	  -1.50	 1.01	0.01	NA
I	 199323	 199323	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	 200628	 200628	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	NA
I	 212827	 212827	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	NA
I	 213011	 213011	+	  1	   6	1.00	  1	   0.00	 2.00	1.00	NA
I	 213051	 213056	+	  2	  14	0.64	  6	  -0.71	 1.06	0.06	NA
I	   6342	   6342	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	   9038	   9038	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	gene:YAL067C
I	  32684	  32754	-	  6	  44	0.25	 71	 -10.45	-0.43	0.06	NA
I	  34358	  34358	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  43074	  43074	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  43163	  43163	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  43282	  43282	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  43463	  43496	-	  2	   7	0.57	 34	  -2.36	 1.01	0.01	NA
I	  43576	  43576	-	  1	   5	1.00	  1	   0.00	 2.00	1.00	NA
I	  43830	  43830	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  43922	  43922	-	  1	   6	1.00	  1	   0.00	 2.00	1.00	NA
I	  44294	  44320	-	  4	  14	0.36	 27	   6.79	 0.04	0.02	NA
I	  44362	  44376	-	  2	   7	0.57	 15	   1.00	 1.01	0.01	NA
I	  44429	  44601	-	  7	  27	0.22	173	 -12.52	-0.76	0.02	NA
I	  44858	  44858	-	  1	   5	1.00	  1	   0.00	 2.00	1.00	NA
I	  45037	  45102	-	 14	 481	0.28	 66	   0.77	-0.82	0.26	gene:YAL054C
I	  45663	  45663	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  52617	  52669	-	  6	  50	0.34	 53	   5.26	-0.42	0.06	gene:YAL049C
I	  54790	  54822	-	  3	  13	0.46	 33	  -5.85	 0.47	0.04	gene:YAL048C
I	  56882	  56886	-	  2	   8	0.62	  5	   0.50	 1.05	0.05	gene:YAL047C
I	  57374	  57374	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	gene:YAL046C
I	  58238	  58240	-	  2	   6	0.50	  3	   0.00	 1.00	0.00	NA
I	  58463	  58476	-	  5	  55	0.40	 14	   1.77	 0.02	0.15	gene:YAL044C
I	  61068	  61068	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	gene:YAL043C
I	  66199	  66199	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  66310	  66310	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  67825	  67885	-	 11	 159	0.26	 61	  -9.49	-0.96	0.14	NA
I	  69548	  69612	-	 16	 180	0.16	 65	  -0.61	-1.74	0.06	gene:YAL039C
I	  70270	  70270	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
I	  76199	  76199	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	gene:YAL036C
I	  81840	  81862	-	  2	   7	0.57	 23	   1.57	 1.01	0.01	gene:YAL034C
I	  81974	  81997	-	  7	 119	0.35	 24	   2.82	-0.38	0.15	gene:YAL034C
I	  82562	  82585	-	  2	   7	0.57	 24	  -1.64	 1.01	0.01	NA
I	  84276	  84284	-	  2	   9	0.56	  9	  -0.44	 1.01	0.01	NA
I	  84415	  84415	-	  1	   3	1.00	  1	   0.00	 2.00	1.00	gene:YAL032C
