seq	TSS	strand	nTAGs	isreal
I	   6559	+	  1	TRUE
I	   6782	+	  1	TRUE
I	   7098	+	  1	TRUE
I	   7114	+	  1	TRUE
I	   7254	+	  1	TRUE
I	   7355	+	  1	TRUE
I	   8084	+	  1	TRUE
I	   9327	+	  1	TRUE
I	   9452	+	  1	TRUE
I	  18028	+	  1	TRUE
I	  18031	+	  2	TRUE
I	  18035	+	  2	TRUE
I	  18038	+	  2	TRUE
I	  21297	+	  1	TRUE
I	  23768	+	  1	TRUE
I	  24022	+	  1	TRUE
I	  24633	+	  2	TRUE
I	  24790	+	  2	TRUE
I	  24813	+	  1	TRUE
I	  24831	+	  2	TRUE
I	  24834	+	  1	TRUE
I	  24838	+	 11	TRUE
I	  24846	+	  2	TRUE
I	  24850	+	  3	TRUE
I	  24870	+	  2	TRUE
I	  24955	+	  1	TRUE
I	  24994	+	  1	TRUE
I	  24997	+	  1	TRUE
I	  25006	+	  1	TRUE
I	  29983	+	  1	TRUE
I	  30118	+	  2	TRUE
I	  30164	+	  1	TRUE
I	  31041	+	  1	TRUE
I	  31087	+	  1	TRUE
I	  31102	+	  1	TRUE
I	  31105	+	  1	TRUE
I	  31108	+	  2	TRUE
I	  31117	+	  4	TRUE
I	  31119	+	  7	TRUE
I	  31123	+	  1	TRUE
I	  31137	+	  1	TRUE
I	  31147	+	  1	TRUE
I	  31174	+	  1	TRUE
I	  31188	+	 21	TRUE
I	  31193	+	  3	TRUE
I	  31225	+	  9	TRUE
I	  31229	+	  6	TRUE
I	  31232	+	  1	TRUE
I	  31234	+	 37	TRUE
I	  31242	+	 28	TRUE
I	  31245	+	  2	TRUE
I	  31258	+	  1	TRUE
I	  31260	+	  3	TRUE
I	  31263	+	  2	TRUE
I	  31320	+	  2	TRUE
I	  31329	+	  1	TRUE
I	  31364	+	  2	TRUE
I	  31481	+	  1	TRUE
I	  31486	+	  1	TRUE
I	  31529	+	  1	TRUE
I	  31530	+	  1	TRUE
I	  31539	+	  1	TRUE
I	  31542	+	  1	TRUE
I	  31729	+	  1	TRUE
I	  31732	+	  1	TRUE
I	  31761	+	  1	TRUE
I	  33157	+	  1	TRUE
I	  33166	+	  1	TRUE
I	  33181	+	  1	TRUE
I	  33311	+	  1	TRUE
I	  33345	+	  4	TRUE
I	  33348	+	  2	TRUE
I	  33359	+	 28	TRUE
I	  33362	+	  3	TRUE
I	  33365	+	  1	TRUE
