seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
I	  18031	  18031	+	  1	   3	1.00	  1	  0.00	 2.00	1.00	NA
I	  24838	  24838	+	  1	   6	1.00	  1	  0.00	 2.00	1.00	NA
I	  31108	  31269	+	 13	 137	0.23	162	  2.62	-1.32	0.10	NA
I	  31364	  31364	+	  1	   3	1.00	  1	  0.00	 2.00	1.00	gene:YAL062W
I	  33359	  33359	+	  1	  24	1.00	  1	  0.00	 2.00	1.00	gene:YAL061W
I	  35057	  35107	+	  5	  29	0.41	 51	  5.59	-0.11	0.09	gene:YAL060W
I	  35185	  35185	+	  1	   3	1.00	  1	  0.00	 2.00	1.00	gene:YAL060W
I	  36513	  36567	+	  5	  37	0.41	 55	  6.84	-0.04	0.12	gene:YAL059W
I	  37415	  37415	+	  1	   4	1.00	  1	  0.00	 2.00	1.00	gene:YAL058W
I	  39208	  39237	+	  5	  25	0.32	 30	  1.26	-0.23	0.04	gene:YAL056W
I	  42134	  42230	+	 17	 133	0.19	 97	-12.02	-1.76	0.08	gene:YAL055W
I	  45761	  45769	+	  2	   9	0.67	  9	  1.33	 1.08	0.08	gene:YAL053W
I	  45810	  45823	+	  3	  10	0.40	 14	 -1.40	 0.43	0.01	gene:YAL053W
I	  45877	  45877	+	  1	   8	1.00	  1	  0.00	 2.00	1.00	gene:YAL053W
I	  48539	  48566	+	  5	  27	0.37	 28	  1.98	-0.15	0.07	gene:YAL051W
I	  57506	  57524	+	  4	  20	0.40	 19	  1.80	 0.08	0.04	gene:YAL044W-A
I	  61269	  61304	+	 10	  95	0.38	 36	  5.10	-0.87	0.14	gene:YAL042W
I	  62066	  62066	+	  1	   5	1.00	  1	  0.00	 2.00	1.00	NA
I	  62147	  62147	+	  1	   3	1.00	  1	  0.00	 2.00	1.00	NA
I	  62773	  62832	+	  4	  21	0.43	 60	-14.79	 0.16	0.08	gene:YAL041W
I	  62936	  62936	+	  1	   3	1.00	  1	  0.00	 2.00	1.00	gene:YAL041W
I	  71649	  71780	+	 14	 412	0.46	132	 39.49	-0.59	0.32	gene:YAL038W
I	  72056	  72074	+	  2	   8	0.62	 19	  2.25	 1.05	0.05	NA
I	  72428	  72497	+	  8	  33	0.21	 70	  6.92	-0.94	0.02	NA
I	  72550	  72601	+	  4	  20	0.30	 52	 -5.15	 0.01	0.01	NA
I	  72704	  72829	+	  5	  19	0.26	126	-12.92	-0.29	0.01	NA
I	  73970	  73970	+	  1	   3	1.00	  1	  0.00	 2.00	1.00	gene:YAL037W
I	  76354	  76426	+	 17	 514	0.42	 73	  6.33	-0.92	0.29	gene:YAL035W
I	  77254	  77254	+	  1	   3	1.00	  1	  0.00	 2.00	1.00	NA
I	  79684	  79695	+	  3	  17	0.59	 12	  1.32	 0.62	0.13	gene:YAL034W-A
I	  82688	  82711	+	  4	  23	0.35	 24	 -2.15	 0.07	0.03	gene:YAL033W
I	  87250	  87264	+	  4	  30	0.47	 15	  2.43	 0.20	0.10	gene:YAL030W
I	  92849	  92885	+	  4	  21	0.38	 37	 -9.43	 0.10	0.05	gene:YAL028W
I	  94595	  94655	+	  7	  27	0.19	 61	  4.67	-0.76	0.02	gene:YAL027W
I	 114803	 114828	+	  5	  25	0.28	 26	 -4.02	-0.24	0.04	gene:YAL019W
I	 119829	 119891	+	 12	  67	0.16	 63	  4.61	-1.42	0.04	NA
I	 119960	 119963	+	  2	   9	0.56	  4	 -0.17	 1.01	0.01	NA
