seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
I	  11329	  11329	+	  1	    4	1.00	   1	   0.00	 2.00	1.00	NA
I	  23971	  24030	+	  5	   50	0.64	  60	  -2.74	 0.37	0.30	NA
I	  24838	  24838	+	  1	   11	1.00	   1	   0.00	 2.00	1.00	NA
I	  31234	  31242	+	  2	   12	0.75	   9	   2.00	 1.19	0.19	NA
I	  31525	  31539	+	  3	   17	0.41	  15	  -0.06	 0.43	0.01	gene:YAL062W
I	  31713	  31903	+	 15	   82	0.15	 191	   1.28	-1.75	0.04	NA
I	  31977	  31977	+	  1	    9	1.00	   1	   0.00	 2.00	1.00	NA
I	  32139	  32139	+	  1	    3	1.00	   1	   0.00	 2.00	1.00	NA
I	  33359	  33359	+	  1	   30	1.00	   1	   0.00	 2.00	1.00	gene:YAL061W
I	  33767	  33767	+	  1	    3	1.00	   1	   0.00	 2.00	1.00	NA
I	  33927	  33927	+	  1	    3	1.00	   1	   0.00	 2.00	1.00	NA
I	  34003	  34003	+	  1	    5	1.00	   1	   0.00	 2.00	1.00	NA
I	  35068	  35068	+	  1	    4	1.00	   1	   0.00	 2.00	1.00	gene:YAL060W
I	  35166	  35185	+	  2	   50	0.94	  20	   8.36	 1.67	0.67	gene:YAL060W
I	  36511	  36567	+	  8	  225	0.65	  57	  -3.79	 0.31	0.44	gene:YAL059W
I	  37378	  37445	+	 10	   95	0.17	  68	 -12.09	-1.11	0.06	gene:YAL058W
I	  37508	  37508	+	  1	    4	1.00	   1	   0.00	 2.00	1.00	gene:YAL058W
I	  37562	  37562	+	  1	    3	1.00	   1	   0.00	 2.00	1.00	gene:YAL058W
I	  37610	  37610	+	  1	    3	1.00	   1	   0.00	 2.00	1.00	NA
I	  39215	  39237	+	  2	   41	0.71	  23	   4.56	 1.13	0.13	gene:YAL056W
I	  42137	  42185	+	  8	   50	0.22	  49	  -1.86	-0.85	0.05	gene:YAL055W
I	  43469	  43475	+	  3	    9	0.33	   7	  -0.33	 0.42	0.00	NA
I	  43539	  43539	+	  1	    3	1.00	   1	   0.00	 2.00	1.00	NA
I	  45748	  45769	+	  2	   11	0.55	  22	   0.95	 1.01	0.01	gene:YAL053W
I	  45810	  45810	+	  1	    3	1.00	   1	   0.00	 2.00	1.00	gene:YAL053W
I	  48511	  48566	+	  6	   65	0.43	  56	  12.48	-0.24	0.13	gene:YAL051W
I	  54995	  54995	+	  1	    5	1.00	   1	   0.00	 2.00	1.00	NA
I	  57484	  57526	+	  7	  148	0.34	  43	  -0.05	-0.33	0.17	gene:YAL044W-A
I	  59004	  59004	+	  1	    9	1.00	   1	   0.00	 2.00	1.00	NA
I	  61267	  61323	+	 19	 1220	0.38	  57	  -5.70	-0.86	0.33	gene:YAL042W
I	  61486	  61489	+	  2	    7	0.57	   4	   0.21	 1.01	0.01	NA
I	  61604	  61619	+	  2	    7	0.57	  16	  -1.07	 1.01	0.01	NA
I	  61660	  61684	+	  2	    8	0.62	  25	   3.00	 1.05	0.05	NA
I	  62015	  62015	+	  1	    4	1.00	   1	   0.00	 2.00	1.00	NA
I	  62769	  62832	+	  6	  130	0.68	  64	 -24.36	 0.59	0.46	gene:YAL041W
I	  62936	  62936	+	  1	    3	1.00	   1	   0.00	 2.00	1.00	gene:YAL041W
I	  66118	  66118	+	  1	   27	1.00	   1	   0.00	 2.00	1.00	NA
I	  68725	  68725	+	  1	    3	1.00	   1	   0.00	 2.00	1.00	NA
I	  71649	  72851	+	196	39993	0.57	1203	-477.28	 0.18	0.76	gene:YAL038W
I	  76344	  76418	+	 23	 3119	0.23	  75	  12.85	-1.28	0.28	gene:YAL035W
I	  76464	  76495	+	  4	   13	0.31	  32	  -6.58	 0.01	0.01	gene:YAL035W
I	  76729	  76738	+	  3	   10	0.40	  10	  -0.90	 0.43	0.01	NA
I	  76994	  76994	+	  1	    3	1.00	   1	   0.00	 2.00	1.00	NA
I	  79674	  79695	+	  3	   31	0.45	  22	  -0.40	 0.58	0.10	gene:YAL034W-A
I	  82701	  82701	+	  1	    4	1.00	   1	   0.00	 2.00	1.00	gene:YAL033W
I	  82753	  82766	+	  3	   11	0.45	  14	  -1.86	 0.46	0.03	gene:YAL033W
I	  85418	  85418	+	  1	    3	1.00	   1	   0.00	 2.00	1.00	NA
I	  87264	  87270	+	  2	    8	0.62	   7	  -0.75	 1.05	0.05	gene:YAL030W
I	  92849	  92889	+	  4	   44	0.50	  41	  -8.73	 0.30	0.15	gene:YAL028W
I	  94591	  94655	+	  8	   70	0.24	  65	   1.44	-0.81	0.06	gene:YAL027W
I	 106418	 106418	+	  1	   14	1.00	   1	   0.00	 2.00	1.00	NA
I	 110762	 110762	+	  1	    5	1.00	   1	   0.00	 2.00	1.00	NA
I	 114790	 114862	+	 13	  502	0.41	  73	 -13.63	-0.64	0.29	gene:YAL019W
I	 119855	 119864	+	  3	   56	0.88	  10	  -1.39	 1.33	0.58	NA
I	 124779	 124818	+	  9	  158	0.38	  40	  -0.99	-0.51	0.21	gene:YAL016W
I	 129208	 129263	+	 21	  754	0.35	  56	  -3.42	-1.37	0.23	gene:YAL013W
I	 130701	 130748	+	  8	  483	0.73	  48	  10.14	 0.65	0.55	gene:YAL012W
I	 132162	 132221	+	 11	  221	0.29	  60	   2.02	-1.03	0.12	gene:YAL011W
I	 135792	 135832	+	  5	   42	0.29	  41	   4.50	-0.24	0.04	gene:YAL009W
I	 136868	 136882	+	  3	   33	0.79	  15	  -4.48	 1.05	0.40	gene:YAL008W
I	 142117	 142167	+	 16	 3929	0.77	  51	   8.78	 0.52	0.63	gene:YAL003W
I	 143552	 143576	+	  3	   12	0.42	  25	   4.67	 0.45	0.02	gene:YAL002W
I	 143616	 143616	+	  1	    7	1.00	   1	   0.00	 2.00	1.00	gene:YAL002W
I	 143675	 143679	+	  2	   12	0.67	   5	   0.67	 1.08	0.08	gene:YAL002W
I	 152204	 152228	+	  4	  115	0.43	  25	   0.68	 0.32	0.16	gene:YAR002W
I	 154920	 154964	+	  4	   95	0.64	  45	  -8.80	 0.53	0.26	gene:YAR003W
I	 158847	 158897	+	  6	   83	0.33	  51	  -9.00	-0.35	0.09	gene:YAR008W
I	 169259	 169332	+	 13	  458	0.33	  74	  -4.65	-0.52	0.32	gene:YAR015W
