seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
1	   137535	   137535	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
1	   629104	   629128	+	  2	   7	0.57	 25	   1.71	 1.01	0.01	NA
1	   629650	   629650	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
1	   631071	   631071	+	  1	   6	1.00	  1	   0.00	 2.00	1.00	NA
1	   632518	   632518	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	NA
1	   633464	   633464	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
1	   633978	   634026	+	  9	  88	0.33	 49	  17.05	-0.54	0.20	NA
1	  1000511	  1000511	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	transcript:ENST00000624652
1	  1059711	  1059730	+	  2	   7	0.57	 20	  -1.36	 1.01	0.01	NA
1	  1399541	  1399573	+	  3	   9	0.33	 33	   3.33	 0.42	0.00	NA
1	  1512160	  1512171	+	  3	  10	0.40	 12	   1.00	 0.43	0.01	transcript:ENST00000536055
1	  2309591	  2309592	+	  2	   8	0.62	  2	   0.12	 1.05	0.05	NA
1	  2391794	  2391862	+	  9	  30	0.13	 69	   0.70	-1.16	0.00	transcript:ENST00000378512
1	  3772771	  3772787	+	  3	  23	0.74	 17	  -4.09	 0.91	0.31	transcript:ENST00000452264
1	  3976139	  3976143	+	  2	   8	0.62	  5	   0.50	 1.05	0.05	NA
1	  6625186	  6625186	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	transcript:ENST00000472925
1	  6760928	  6760928	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
1	  6785454	  6785477	+	  4	  40	0.38	 24	  -2.30	 0.10	0.05	transcript:ENST00000461311
1	  7827405	  7827405	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
1	  7961659	  7961723	+	 18	 139	0.10	 65	  -0.71	-2.01	0.04	transcript:ENST00000377488
1	  8750409	  8750409	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	NA
1	  9943434	  9943488	+	  6	  44	0.64	 55	  17.25	 0.21	0.31	transcript:ENST00000377205
1	 10032944	 10032960	+	  5	  34	0.47	 17	   4.82	 0.02	0.15	transcript:ENST00000377153
1	 10210533	 10210584	+	  4	  13	0.31	 52	  -2.12	 0.01	0.01	transcript:ENST00000263934
1	 10399018	 10399097	+	  9	  86	0.37	 80	  -0.67	-0.60	0.18	transcript:ENST00000460189
1	 10399449	 10399449	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	transcript:ENST00000460189
1	 10419430	 10419430	+	  1	   6	1.00	  1	   0.00	 2.00	1.00	NA
1	 10419501	 10419501	+	  1	   6	1.00	  1	   0.00	 2.00	1.00	NA
1	 10419648	 10419680	+	  3	  11	0.36	 33	   6.91	 0.43	0.01	NA
1	 10430429	 10430472	+	  9	  84	0.27	 44	 -10.96	-0.94	0.07	transcript:ENST00000462462
1	 10474946	 10474961	+	  4	  18	0.50	 16	  -3.00	 0.21	0.10	transcript:ENST00000491661
1	 11012651	 11012684	+	  8	  60	0.38	 34	  -8.37	-0.61	0.13	transcript:ENST00000614757
1	 11273226	 11273226	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	transcript:ENST00000483738
1	 11736132	 11736142	+	  2	  11	0.64	 11	  -1.36	 1.05	0.05	transcript:ENST00000510878
1	 11806246	 11806249	+	  2	  14	0.57	  4	   0.21	 1.01	0.01	transcript:ENST00000376496
1	 11908152	 11908159	+	  2	  15	0.73	  8	  -1.63	 1.16	0.16	NA
1	 11934734	 11934734	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	transcript:ENST00000429000
1	 11980431	 11980449	+	  8	  81	0.31	 19	   3.06	-0.71	0.10	transcript:ENST00000235329
1	 12019501	 12019504	+	  2	   7	0.57	  4	   0.21	 1.01	0.01	transcript:ENST00000235332
1	 12166991	 12166991	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	transcript:ENST00000536782
1	 12230030	 12230094	+	  7	  43	0.23	 65	 -17.74	-0.68	0.05	transcript:ENST00000613099
1	 13749381	 13749438	+	 13	 109	0.31	 58	   9.18	-1.18	0.14	transcript:ENST00000505823
1	 15236516	 15236521	+	  2	   7	0.57	  6	   0.36	 1.01	0.01	NA
1	 15409895	 15409895	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	transcript:ENST00000445566
1	 15526854	 15526873	+	  4	  18	0.28	 20	   1.61	 0.03	0.01	transcript:ENST00000375847
1	 15617437	 15617458	+	  4	  13	0.31	 22	   1.96	 0.01	0.01	transcript:ENST00000480945
1	 15847822	 15847822	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	transcript:ENST00000375759
1	 16367231	 16367245	+	  9	  78	0.22	 15	  -0.92	-0.99	0.06	transcript:ENST00000492354
1	 16440713	 16440752	+	  5	  43	0.35	 40	   5.57	-0.16	0.07	transcript:ENST00000513161
1	 16727279	 16727279	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
1	 16861915	 16861915	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
1	 16895980	 16895980	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
1	 16905199	 16905199	+	  1	  10	1.00	  1	   0.00	 2.00	1.00	NA
1	 19210395	 19210395	+	  1	  14	1.00	  1	   0.00	 2.00	1.00	NA
1	 19210495	 19210519	+	  7	  35	0.20	 25	  -1.37	-0.76	0.02	NA
1	 19251567	 19251594	+	  5	  20	0.25	 28	   3.70	-0.30	0.01	transcript:ENST00000330263
1	 19251779	 19251825	+	  8	  35	0.23	 47	   2.74	-0.92	0.03	transcript:ENST00000330263
1	 19312333	 19312333	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	transcript:ENST00000497827
1	 19596975	 19597035	+	 22	 192	0.15	 61	   3.18	-2.13	0.07	transcript:ENST00000602450
1	 19608079	 19608079	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
1	 20186099	 20186125	+	  3	  12	0.42	 27	  -2.33	 0.45	0.02	transcript:ENST00000375099
1	 21345640	 21345640	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	NA
1	 21907066	 21907066	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	NA
1	 21908057	 21908057	+	  1	  12	1.00	  1	   0.00	 2.00	1.00	NA
1	 22052685	 22052731	+	 10	  85	0.27	 47	   9.44	-0.98	0.10	transcript:ENST00000662562
1	 22451851	 22451858	+	  3	  20	0.45	  8	  -0.25	 0.54	0.08	transcript:ENST00000400239
1	 23019477	 23019493	+	  2	   8	0.62	 17	   2.00	 1.05	0.05	transcript:ENST00000400181
1	 23691781	 23691817	+	 19	 307	0.37	 37	   3.91	-1.34	0.21	transcript:ENST00000458455
1	 23743454	 23743494	+	  6	  38	0.42	 41	   3.58	-0.25	0.13	transcript:ENST00000609199
1	 23778383	 23778466	+	 18	 133	0.11	 84	 -12.64	-1.93	0.06	transcript:ENST00000415372
1	 23791145	 23791178	+	  3	  10	0.40	 34	   3.60	 0.43	0.01	transcript:ENST00000421070
1	 23959197	 23959197	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	transcript:ENST00000334351
1	 23959807	 23959840	+	  9	 139	0.45	 34	   3.20	-0.50	0.21	transcript:ENST00000334351
1	 24415793	 24415802	+	  3	  25	0.68	 10	   2.22	 0.79	0.24	transcript:ENST00000339255
1	 24515863	 24515863	+	  1	   7	1.00	  1	   0.00	 2.00	1.00	NA
1	 24643191	 24643203	+	  4	  16	0.31	 13	   0.75	 0.02	0.01	transcript:ENST00000596378
1	 24643260	 24643316	+	 23	 328	0.17	 57	   4.90	-2.01	0.11	transcript:ENST00000596378
1	 24745356	 24745385	+	  3	  22	0.55	 30	   7.23	 0.55	0.09	transcript:ENST00000374379
1	 24745431	 24745447	+	  5	  22	0.27	 17	  -0.32	-0.27	0.02	transcript:ENST00000374379
1	 25232596	 25232596	+	  1	   4	1.00	  1	   0.00	 2.00	1.00	NA
1	 25338300	 25338334	+	  7	  48	0.25	 35	   0.71	-0.64	0.06	transcript:ENST00000374358
1	 25543611	 25543650	+	  3	  13	0.38	 40	  -3.73	 0.45	0.02	transcript:ENST00000374338
1	 25819953	 25819978	+	  3	  10	0.40	 26	   2.30	 0.43	0.01	transcript:ENST00000374300
1	 26111805	 26111840	+	  4	  17	0.41	 36	   2.62	 0.10	0.05	transcript:ENST00000374271
1	 26169908	 26169961	+	  6	  30	0.33	 54	  -5.97	-0.44	0.06	transcript:ENST00000270812
1	 26234207	 26234218	+	  4	  20	0.40	 12	   1.95	 0.13	0.06	transcript:ENST00000252992
1	 26280044	 26280099	+	 12	 108	0.20	 56	   5.84	-1.37	0.06	transcript:ENST00000319041
1	 26280143	 26280143	+	  1	   3	1.00	  1	   0.00	 2.00	1.00	transcript:ENST00000319041
1	 26317958	 26317958	+	  1	  11	1.00	  1	   0.00	 2.00	1.00	transcript:ENST00000374213
