seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
1	   629084	   629161	+	 29	 451	0.13	 78	-11.24	-2.52	0.07	NA
1	   629572	   629572	+	  1	   5	1.00	  1	  0.00	 2.00	1.00	NA
1	   629640	   629835	+	 28	 450	0.16	196	-21.04	-2.17	0.13	NA
1	   629940	   629960	+	  3	  34	0.68	 21	  5.79	 0.77	0.22	NA
1	   630212	   630254	+	  9	 107	0.19	 43	-10.96	-1.00	0.05	NA
1	   630928	   630928	+	  1	   5	1.00	  1	  0.00	 2.00	1.00	NA
1	   631041	   631090	+	  3	  59	0.76	 50	  2.53	 0.99	0.36	NA
1	   631198	   631198	+	  1	   5	1.00	  1	  0.00	 2.00	1.00	NA
1	   631473	   631475	+	  3	  19	0.37	  3	  0.00	 0.42	0.00	NA
1	   631863	   631863	+	  1	   9	1.00	  1	  0.00	 2.00	1.00	NA
1	   632026	   632026	+	  1	   5	1.00	  1	  0.00	 2.00	1.00	NA
1	   632197	   632197	+	  1	   9	1.00	  1	  0.00	 2.00	1.00	NA
1	   632757	   632757	+	  1	   8	1.00	  1	  0.00	 2.00	1.00	NA
1	   633090	   633100	+	  4	  28	0.39	 11	  2.18	 0.08	0.04	NA
1	   633473	   633473	+	  1	  31	1.00	  1	  0.00	 2.00	1.00	NA
1	   633533	   633562	+	  3	  30	0.57	 30	  8.13	 0.58	0.10	NA
1	   633731	   633750	+	  2	  13	0.54	 20	  0.73	 1.00	0.00	NA
1	   633889	   633891	+	  3	  26	0.38	  3	  0.08	 0.43	0.01	NA
1	   633936	   633938	+	  2	  14	0.50	  3	  0.00	 1.00	0.00	NA
1	   633983	   634029	+	 10	 270	0.21	 47	 13.04	-0.98	0.10	NA
1	   634127	   634180	+	 13	 190	0.23	 54	  4.24	-1.40	0.08	NA
1	   634376	   634376	+	  1	   7	1.00	  1	  0.00	 2.00	1.00	NA
1	   634432	   634437	+	  5	  34	0.26	  6	  0.15	-0.29	0.01	NA
1	   778819	   778823	+	  2	  17	0.59	  5	  0.35	 1.02	0.02	NA
1	   778997	   779028	+	  4	  28	0.32	 32	  5.50	 0.06	0.03	NA
1	   827608	   827679	+	  8	  79	0.23	 72	 14.50	-0.88	0.04	NA
1	  1000511	  1000511	+	  1	   5	1.00	  1	  0.00	 2.00	1.00	transcript:ENST00000624652
1	  1013467	  1013497	+	  6	  51	0.37	 31	  4.49	-0.37	0.08	transcript:ENST00000649529
1	  1020074	  1020120	+	  7	  85	0.36	 47	  9.40	-0.50	0.11	transcript:ENST00000620552
1	  1064457	  1064488	+	  2	  12	0.58	 32	 -2.58	 1.02	0.02	NA
1	  1232243	  1232243	+	  1	   5	1.00	  1	  0.00	 2.00	1.00	transcript:ENST00000379198
1	  1308567	  1308630	+	  6	  52	0.27	 64	  6.69	-0.44	0.06	transcript:ENST00000467712
1	  1324789	  1324827	+	  7	  53	0.34	 39	 -0.64	-0.60	0.07	transcript:ENST00000488011
1	  1399541	  1399567	+	  4	  28	0.32	 27	  1.79	 0.03	0.01	NA
1	  1407373	  1407377	+	  2	  13	0.54	  5	  0.15	 1.00	0.00	NA
1	  1471763	  1471791	+	  9	 131	0.25	 29	  0.66	-0.93	0.08	transcript:ENST00000308647
1	  1477848	  1477849	+	  2	  31	0.58	  2	 -0.08	 1.02	0.02	NA
1	  1512139	  1512220	+	 16	 262	0.22	 82	-11.79	-1.53	0.12	transcript:ENST00000536055
1	  1600209	  1600209	+	  1	   5	1.00	  1	  0.00	 2.00	1.00	NA
1	  1615865	  1615896	+	  2	  12	0.58	 32	 -2.58	 1.02	0.02	transcript:ENST00000504599
