seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
I	  18028	  18031	+	  2	   8	0.50	   4	  0.00	 1.00	0.00	NA
I	  24834	  24838	+	  2	  14	0.79	   5	  1.14	 1.25	0.25	NA
I	  30118	  30118	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  31108	  31145	+	  5	  44	0.25	  38	 -5.11	-0.22	0.04	NA
I	  31187	  31263	+	 13	 183	0.25	  77	  1.28	-1.12	0.16	NA
I	  31317	  31353	+	  3	  10	0.40	  37	 -6.30	 0.43	0.01	gene:YAL062W
I	  33345	  33362	+	  3	  60	0.78	  18	  5.30	 1.08	0.42	gene:YAL061W
I	  33849	  33849	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  33937	  33994	+	  4	  12	0.25	  58	  3.00	 0.00	0.00	NA
I	  34056	  34056	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  34147	  34147	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  34666	  34666	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  35057	  35107	+	  5	  43	0.42	  51	  7.88	-0.09	0.10	gene:YAL060W
I	  35185	  35185	+	  1	   7	1.00	   1	  0.00	 2.00	1.00	gene:YAL060W
I	  36504	  36581	+	 11	  81	0.27	  78	  6.27	-1.11	0.10	gene:YAL059W
I	  37380	  37415	+	  2	  13	0.62	  36	  4.04	 1.04	0.04	gene:YAL058W
I	  39200	  39237	+	  6	  29	0.24	  38	  1.98	-0.55	0.01	gene:YAL056W
I	  42134	  42221	+	 22	 168	0.12	  88	 -7.12	-2.23	0.05	gene:YAL055W
I	  45744	  45813	+	 10	  52	0.15	  70	 -5.29	-1.22	0.03	gene:YAL053W
I	  45874	  45877	+	  2	  10	0.60	   4	 -0.30	 1.03	0.03	gene:YAL053W
I	  48493	  48579	+	 10	  57	0.28	  87	  9.68	-1.04	0.08	gene:YAL051W
I	  57484	  57524	+	  9	  46	0.22	  41	  2.20	-1.10	0.02	gene:YAL044W-A
I	  61269	  61304	+	  9	  72	0.36	  36	  3.86	-0.84	0.11	gene:YAL042W
I	  61492	  61492	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  61537	  61537	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  61848	  61848	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  61891	  61891	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  62025	  62025	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  62082	  62372	+	 42	 168	0.04	 291	 -0.11	-3.34	0.01	NA
I	  62456	  62456	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  62773	  62827	+	  5	  36	0.39	  55	 -0.75	-0.11	0.09	gene:YAL041W
I	  71644	  71867	+	 44	 883	0.31	 224	  2.77	-1.89	0.29	gene:YAL038W
I	  71924	  71948	+	  2	   8	0.62	  25	 -3.00	 1.05	0.05	NA
I	  72022	  72071	+	  3	  12	0.42	  50	 -3.17	 0.45	0.02	NA
I	  72152	  72187	+	  3	   9	0.33	  36	  4.17	 0.42	0.00	NA
I	  72296	  72332	+	  4	  13	0.31	  37	  4.54	 0.01	0.01	NA
I	  72428	  72920	+	 89	 399	0.05	 493	-21.98	-4.33	0.02	NA
I	  73086	  73086	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  73921	  73921	+	  1	   4	1.00	   1	  0.00	 2.00	1.00	gene:YAL037W
I	  76368	  76464	+	 21	 561	0.36	  97	-18.32	-1.10	0.29	gene:YAL035W
I	  76924	  76924	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  77066	  77066	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  77191	  77260	+	  5	  20	0.30	  70	 -3.85	-0.27	0.02	NA
I	  77477	  77477	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  77584	  77598	+	  2	   6	0.50	  15	  0.00	 1.00	0.00	NA
I	  77664	  77664	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	  79674	  79700	+	  5	  31	0.35	  27	  1.35	-0.22	0.04	gene:YAL034W-A
I	  82688	  82711	+	  4	  26	0.35	  24	 -2.50	 0.10	0.05	gene:YAL033W
I	  87250	  87279	+	  6	  56	0.59	  30	 -1.39	 0.11	0.27	gene:YAL030W
I	  87325	  87325	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	gene:YAL030W
I	  92836	  92899	+	  9	  52	0.25	  64	 -4.56	-0.95	0.07	gene:YAL028W
I	  94595	  94646	+	  5	  28	0.21	  52	 -3.43	-0.32	0.00	gene:YAL027W
I	 114803	 114818	+	  3	  20	0.40	  16	 -1.35	 0.44	0.02	gene:YAL019W
I	 115648	 115648	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	 119843	 119891	+	 11	  90	0.27	  49	 -0.72	-1.15	0.09	NA
I	 119953	 119963	+	  3	  22	0.36	  11	  0.41	 0.42	0.00	NA
I	 123014	 123014	+	  1	   3	1.00	   1	  0.00	 2.00	1.00	NA
I	 124782	 124818	+	 11	 113	0.21	  37	 -3.20	-1.07	0.11	gene:YAL016W
