seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
I	  24834	  24834	+	 1	    3	1.00	  1	  0.00	 2.00	1.00	NA
I	  31108	  31145	+	 3	   14	0.50	 38	 -7.43	 0.51	0.06	NA
I	  31185	  31193	+	 3	   20	0.55	  9	  1.00	 0.56	0.09	NA
I	  31242	  31242	+	 1	    5	1.00	  1	  0.00	 2.00	1.00	NA
I	  31729	  31729	+	 1	    5	1.00	  1	  0.00	 2.00	1.00	NA
I	  33359	  33359	+	 1	    9	1.00	  1	  0.00	 2.00	1.00	gene:YAL061W
I	  35065	  35107	+	 4	   17	0.41	 43	  2.65	 0.10	0.05	gene:YAL060W
I	  35185	  35185	+	 1	   13	1.00	  1	  0.00	 2.00	1.00	gene:YAL060W
I	  36513	  36567	+	 5	   62	0.55	 55	 -0.21	 0.24	0.24	gene:YAL059W
I	  37380	  37415	+	 2	   15	0.73	 36	  8.17	 1.16	0.16	gene:YAL058W
I	  39205	  39215	+	 3	   20	0.40	 11	 -0.40	 0.48	0.04	gene:YAL056W
I	  45748	  45761	+	 4	   17	0.29	 14	  1.15	 0.03	0.01	gene:YAL053W
I	  48497	  48564	+	 8	   49	0.18	 68	  5.07	-0.93	0.02	gene:YAL051W
I	  57496	  57532	+	10	  130	0.42	 37	 -2.08	-0.52	0.24	gene:YAL044W-A
I	  61267	  61309	+	11	  306	0.46	 43	  3.55	-0.64	0.24	gene:YAL042W
I	  61445	  61445	+	 1	    3	1.00	  1	  0.00	 2.00	1.00	NA
I	  62766	  62808	+	 3	   23	0.52	 43	 -3.00	 0.55	0.08	gene:YAL041W
I	  71644	  71780	+	41	10392	0.81	137	 44.94	 0.59	0.74	gene:YAL038W
I	  71891	  72031	+	 8	   30	0.17	141	 -2.47	-0.98	0.01	NA
I	  72229	  72229	+	 1	    4	1.00	  1	  0.00	 2.00	1.00	NA
I	  72278	  72318	+	 4	   22	0.45	 41	 -1.32	 0.19	0.09	NA
I	  72460	  72475	+	 2	    6	0.50	 16	  0.00	 1.00	0.00	NA
I	  72560	  72588	+	 8	   64	0.34	 29	  2.48	-0.64	0.12	NA
I	  72629	  72740	+	 8	   29	0.24	112	-13.71	-0.92	0.03	NA
I	  72796	  72830	+	 3	   13	0.38	 35	 -3.15	 0.45	0.02	NA
I	  72932	  72968	+	 3	   25	0.48	 37	 -9.84	 0.50	0.05	NA
I	  76364	  76432	+	20	 1437	0.62	 69	  1.36	-0.21	0.49	gene:YAL035W
I	  76676	  76676	+	 1	    4	1.00	  1	  0.00	 2.00	1.00	NA
I	  76802	  76802	+	 1	    4	1.00	  1	  0.00	 2.00	1.00	NA
I	  76931	  76931	+	 1	   14	1.00	  1	  0.00	 2.00	1.00	NA
I	  77121	  77121	+	 1	    3	1.00	  1	  0.00	 2.00	1.00	NA
I	  79674	  79695	+	 4	   42	0.55	 22	  1.60	 0.31	0.16	gene:YAL034W-A
I	  82685	  82704	+	 5	   81	0.31	 20	 -0.08	-0.03	0.12	gene:YAL033W
I	  82766	  82766	+	 1	    3	1.00	  1	  0.00	 2.00	1.00	gene:YAL033W
I	  87261	  87264	+	 2	   10	0.50	  4	  0.00	 1.00	0.00	gene:YAL030W
I	  92849	  92885	+	 4	   18	0.33	 37	 -5.33	 0.05	0.02	gene:YAL028W
I	  94607	  94607	+	 1	   10	1.00	  1	  0.00	 2.00	1.00	gene:YAL027W
I	 114803	 114832	+	 9	  110	0.54	 30	 -5.23	-0.30	0.27	gene:YAL019W
I	 119850	 119850	+	 1	    4	1.00	  1	  0.00	 2.00	1.00	NA
I	 124782	 124818	+	10	  114	0.39	 37	 -9.86	-0.74	0.18	gene:YAL016W
I	 129205	 129248	+	11	   86	0.19	 44	  3.05	-1.31	0.04	gene:YAL013W
I	 130686	 130754	+	14	  530	0.58	 69	 14.58	-0.14	0.44	gene:YAL012W
I	 132185	 132208	+	 4	   28	0.43	 24	 -4.54	 0.26	0.13	gene:YAL011W
I	 135844	 135844	+	 1	    3	1.00	  1	  0.00	 2.00	1.00	gene:YAL009W
I	 136815	 136882	+	 9	   90	0.27	 68	 16.60	-0.91	0.08	gene:YAL008W
I	 142117	 142167	+	17	 1631	0.30	 51	  3.74	-1.02	0.26	gene:YAL003W
I	 142672	 142672	+	 1	  894	1.00	  1	  0.00	 2.00	1.00	NA
I	 142840	 142840	+	 1	    4	1.00	  1	  0.00	 2.00	1.00	NA
I	 143616	 143618	+	 2	   10	0.70	  3	 -0.40	 1.12	0.12	gene:YAL002W
I	 152204	 152217	+	 4	   74	0.82	 14	  3.59	 1.06	0.53	gene:YAR002W
I	 154920	 154958	+	 3	   14	0.43	 39	  6.14	 0.44	0.02	gene:YAR003W
I	 158847	 158872	+	 6	   39	0.23	 26	 -1.73	-0.51	0.03	gene:YAR008W
I	 169263	 169339	+	20	  850	0.31	 77	  5.22	-0.92	0.32	gene:YAR015W
I	 175312	 175312	+	 1	    3	1.00	  1	  0.00	 2.00	1.00	NA
I	 183294	 183294	+	 1	    3	1.00	  1	  0.00	 2.00	1.00	NA
I	 183389	 183389	+	 1	    9	1.00	  1	  0.00	 2.00	1.00	NA
I	 183688	 183699	+	 4	   20	0.45	 12	 -2.25	 0.14	0.07	gene:YAR027W
I	 183754	 183754	+	 1	    5	1.00	  1	  0.00	 2.00	1.00	gene:YAR027W
I	 184831	 184881	+	10	   70	0.26	 51	  1.81	-1.06	0.08	gene:YAR028W
I	 186919	 186997	+	 7	   40	0.30	 79	 16.00	-0.67	0.05	gene:YAR031W
I	 188043	 188065	+	 5	   19	0.32	 23	 -1.53	-0.26	0.03	gene:YAR033W
I	 192549	 192619	+	 6	   23	0.22	 71	 -8.04	-0.55	0.02	gene:YAR042W
I	 198736	 198736	+	 1	    3	1.00	  1	  0.00	 2.00	1.00	NA
I	 200618	 200618	+	 1	    3	1.00	  1	  0.00	 2.00	1.00	NA
I	 213056	 213056	+	 1	    5	1.00	  1	  0.00	 2.00	1.00	NA
I	 225393	 225420	+	16	  481	0.35	 28	  4.86	-1.08	0.23	gene:YAR071W
I	   6331	   6331	-	 1	    4	1.00	  1	  0.00	 2.00	1.00	NA
I	  30755	  30755	-	 1	    4	1.00	  1	  0.00	 2.00	1.00	NA
I	  31588	  31588	-	 1	    4	1.00	  1	  0.00	 2.00	1.00	NA
I	  32549	  32549	-	 1	    3	1.00	  1	  0.00	 2.00	1.00	NA
I	  32728	  32728	-	 1	    3	1.00	  1	  0.00	 2.00	1.00	NA
I	  34355	  34358	-	 2	   11	0.64	  4	  0.41	 1.05	0.05	NA
I	  43099	  43099	-	 1	    4	1.00	  1	  0.00	 2.00	1.00	NA
I	  43595	  43595	-	 1	    3	1.00	  1	  0.00	 2.00	1.00	NA
I	  52617	  52672	-	 7	   42	0.24	 56	  1.26	-0.66	0.05	gene:YAL049C
I	  54790	  54822	-	 3	   10	0.40	 33	 -0.50	 0.43	0.01	gene:YAL048C
I	  56882	  56886	-	 2	   14	0.64	  5	  0.57	 1.06	0.06	gene:YAL047C
I	  57383	  57391	-	 2	   14	0.64	  9	 -1.14	 1.06	0.06	gene:YAL046C
I	  58463	  58483	-	 8	  208	0.42	 21	 -0.69	-0.23	0.26	gene:YAL044C
I	  61083	  61093	-	 3	   10	0.40	 11	  0.50	 0.43	0.01	gene:YAL043C
I	  67833	  67885	-	 8	  110	0.37	 53	-12.26	-0.51	0.16	NA
I	  68046	  68046	-	 1	    4	1.00	  1	  0.00	 2.00	1.00	NA
I	  69553	  69614	-	12	  124	0.19	 62	  1.24	-1.25	0.09	gene:YAL039C
I	  75643	  75643	-	 1	    3	1.00	  1	  0.00	 2.00	1.00	NA
I	  76174	  76218	-	14	  246	0.47	 45	 -7.48	-0.70	0.29	gene:YAL036C
I	  82537	  82594	-	 5	   25	0.32	 58	  0.62	-0.23	0.04	NA
I	  84494	  84504	-	 2	   14	0.64	 11	 -1.43	 1.06	0.06	gene:YAL032C
I	  86157	  86157	-	 1	    4	1.00	  1	  0.00	 2.00	1.00	NA
I	  87060	  87078	-	 2	   35	0.80	 19	  5.40	 1.28	0.28	gene:YAL031C
I	  87382	  87382	-	 1	    3	1.00	  1	  0.00	 2.00	1.00	NA
I	  92457	  92557	-	12	   78	0.31	101	  7.96	-1.18	0.11	gene:YAL029C
I	  99767	  99790	-	 5	   67	0.64	 24	  1.98	 0.39	0.31	gene:YAL026C
I	 100596	 100596	-	 1	    3	1.00	  1	  0.00	 2.00	1.00	NA
I	 101151	 101190	-	13	  536	0.51	 40	 -3.37	-0.40	0.35	gene:YAL025C
I	 105962	 105985	-	 3	   10	0.40	 24	  1.90	 0.43	0.01	gene:YAL024C
I	 108623	 108643	-	 4	   18	0.44	 21	  2.94	 0.14	0.07	gene:YAL023C
I	 108696	 108696	-	 1	    7	1.00	  1	  0.00	 2.00	1.00	gene:YAL023C
I	 110446	 110474	-	 2	   12	0.67	 29	 -4.67	 1.08	0.08	gene:YAL022C
I	 113389	 113432	-	15	  266	0.41	 44	 -2.92	-0.94	0.25	gene:YAL021C
I	 114613	 114619	-	 2	   11	0.73	  7	  1.36	 1.15	0.15	gene:YAL020C
I	 128075	 128075	-	 1	    3	1.00	  1	  0.00	 2.00	1.00	gene:YAL015C
I	 129034	 129076	-	 8	   61	0.23	 43	  4.07	-0.83	0.06	gene:YAL014C
I	 135686	 135702	-	 4	   20	0.50	 17	  2.25	 0.21	0.11	gene:YAL010C
I	 138394	 138453	-	 8	  240	0.34	 60	 -1.35	-0.52	0.16	gene:YAL007C
